#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci2-ch4-cont_bs-65-35_scibs-5050.dat
#
# Science CH4 Continuum bandpass with 65/35 B/S, without atmosphere
#
# Characteristics:
#    lambda_0:  9.2423e-07 [central wavelength, in m]
#    w_eff:     2.5342e-08 [effective width, in m]
#    FWHM:      2.59449e-08 [full-width at half max., in m]
#    Trans_max: 0.0375029 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.00807026 [W/m^3 above atm]
#    f_nu_0:     2298.83 [Jy above atm]
#    f_phot_0:   3.75418e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 6.21573e-09 [W at telescope aperture]
#    F_phot_0:   1.08439e+09 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  9.212e-07          0.0365412
  9.213e-07          0.0365458
  9.214e-07          0.0365504
  9.215e-07          0.0365074
  9.216e-07          0.0364581
  9.217e-07          0.0364088
  9.218e-07          0.036405
  9.219e-07          0.0364011
  9.22e-07          0.0363972
  9.221e-07          0.0363941
  9.222e-07          0.036388
  9.223e-07          0.0363819
  9.224e-07          0.0363757
  9.225e-07          0.0363749
  9.226e-07          0.036374
  9.227e-07          0.0363732
  9.228e-07          0.0363723
  9.229e-07          0.0363212
  9.23e-07          0.0362701
  9.231e-07          0.036218
  9.232e-07          0.0361659
  9.233e-07          0.0361374
  9.234e-07          0.0361088
  9.235e-07          0.0360803
  9.236e-07          0.0360761
  9.237e-07          0.0360718
  9.238e-07          0.0360676
  9.239e-07          0.0360634
  9.24e-07          0.0360561
  9.241e-07          0.0360499
  9.242e-07          0.0360437
  9.243e-07          0.0360376
  9.244e-07          0.0360556
  9.245e-07          0.0360737
  9.246e-07          0.0360729
  9.247e-07          0.036072
  9.248e-07          0.0360786
  9.249e-07          0.0360852
  9.25e-07          0.0360249
  9.251e-07          0.0359625
  9.252e-07          0.0358999
  9.253e-07          0.0358372
  9.254e-07          0.0358115
  9.255e-07          0.0357857
  9.256e-07          0.0357525
  9.257e-07          0.0357493
  9.258e-07          0.035746
  9.259e-07          0.0357428
  9.26e-07          0.0357396
  9.261e-07          0.0357325
  9.262e-07          0.0357257
  9.263e-07          0.0357189
