2MASSJ16085953-3856275;M8.5;58.5;2618.583266017328;2670.232301104564;2569.9144877648723
AKC2006-18;M6.5;56.5;2814.1020845117528;2858.473259423381;2770.236931614866
Lup706;M7.5;57.5;2721.803040484453;2770.236931614866;2670.232301104564
ISO-Oph 033;M6.5;56.5;2814.1020845117528;2858.473259423381;2770.236931614866
ISO-Oph 023;M7;57.0;2770.236931614866;2814.1020845117528;2721.803040484453
ISO-Oph 030;M6;56.0;2858.473259423381;2910.8205345344845;2814.1020845117528
ISO-Oph 033;M8.5;58.5;2618.583266017328;2670.232301104564;2569.9144877648723
ISO-Oph 102;M6;56.0;2858.473259423381;2910.8205345344845;2814.1020845117528
ISO-Oph 160;M6;56.0;2858.473259423381;2910.8205345344845;2814.1020845117528
ISO-Oph 164;M6;56.0;2858.473259423381;2910.8205345344845;2814.1020845117528
ISO-Oph 193;M6;56.0;2858.473259423381;2910.8205345344845;2814.1020845117528
2MASS J04141188+2811535;M6.5;56.5;2814.1020845117528;2858.473259423381;2770.236931614866
2MASS J04390396+2544264;M7.25;57.25;2746.6032516147275;2792.5250942368634;2696.2186172918105
2MASS J04414825+2534304;M7.75;57.75;2696.2186172918105;2746.6032516147275;2644.2264109904813
2MASS J04442713+2512164;M7.25;57.25;2746.6032516147275;2792.5250942368634;2696.2186172918105
2MASS J12073347-3932540;M8;58.0;2670.232301104564;2721.803040484453;2618.583266017328
2MASS J12073347-3932540;M8;58.0;2670.232301104564;2721.803040484453;2618.583266017328
2MASS J12073347-3932540;M8.25;58.25;2644.2264109904813;2696.2186172918105;2593.68518525287
DENIS-P J160603.9-205644;M7.25;57.25;2746.6032516147275;2792.5250942368634;2696.2186172918105
Oph J162225-240515A;M7.25;57.25;2746.6032516147275;2792.5250942368634;2696.2186172918105
OphJ162225-240515B;M8.75;58.75;2593.68518525287;2644.2264109904813;2547.6534926211025
SSPM J1102-3431;M8.5;58.5;2618.583266017328;2670.232301104564;2569.9144877648723
Usco J160603.75-221930.0;M8.75;58.75;2593.68518525287;2644.2264109904813;2547.6534926211025
USco J160723.82221102.0;M8.5;58.5;2618.583266017328;2670.232301104564;2569.9144877648723
UScoCTIO 128;M7;57.0;2770.236931614866;2814.1020845117528;2721.803040484453
ISO-Oph 023;M7;57.0;2770.236931614866;2814.1020845117528;2721.803040484453
ISO-Oph 032;M6.5;56.5;2814.1020845117528;2858.473259423381;2770.236931614866
ISO-Oph 033;M8;58.0;2670.232301104564;2721.803040484453;2618.583266017328
ISO-Oph 160;M7.5;57.5;2721.803040484453;2770.236931614866;2670.232301104564
ISO-Oph 164;M8;58.0;2670.232301104564;2721.803040484453;2618.583266017328
ISO-Oph 176;M7.5;57.5;2721.803040484453;2770.236931614866;2670.232301104564
2MASS 1207-3932;M8.0;58.0;2670.232301104564;2721.803040484453;2618.583266017328
2MASS 1207-3932;M8.0;58.0;2670.232301104564;2721.803040484453;2618.583266017328
CFHT-BD-Tau 4;M7.0;57.0;2770.236931614866;2814.1020845117528;2721.803040484453
CFHT-BD-Tau 4;M7.0;57.0;2770.236931614866;2814.1020845117528;2721.803040484453
GY 310;M7.0;57.0;2770.236931614866;2814.1020845117528;2721.803040484453
GY 310;M7.0;57.0;2770.236931614866;2814.1020845117528;2721.803040484453
IC348 291;M7.25;57.25;2746.6032516147275;2792.5250942368634;2696.2186172918105
IC348 291;M7.25;57.25;2746.6032516147275;2792.5250942368634;2696.2186172918105
IC348 415;M6.5;56.5;2814.1020845117528;2858.473259423381;2770.236931614866
IC348 415;M6.5;56.5;2814.1020845117528;2858.473259423381;2770.236931614866
KPNO Tau 12;M9.0;59.0;2569.9144877648723;2618.583266017328;2527.2845188893248
KPNO Tau 12;M9.0;59.0;2569.9144877648723;2618.583266017328;2527.2845188893248
KPNO Tau 4;M9.5;59.5;2527.2845188893248;2569.9144877648723;2493.7519119328153
KPNO Tau 4;M9.5;59.5;2527.2845188893248;2569.9144877648723;2493.7519119328153
KPNO Tau 6;M8.5;58.5;2618.583266017328;2670.232301104564;2569.9144877648723
KPNO Tau 6;M8.5;58.5;2618.583266017328;2670.232301104564;2569.9144877648723
KPNO Tau 7;M8.25;58.25;2644.2264109904813;2696.2186172918105;2593.68518525287
KPNO Tau 7;M8.25;58.25;2644.2264109904813;2696.2186172918105;2593.68518525287
USco DENIS 160603;M7.5;57.5;2721.803040484453;2770.236931614866;2670.232301104564
USco DENIS 160603;M7.5;57.5;2721.803040484453;2770.236931614866;2670.232301104564
IC348 382;M6.5;56.5;2814.1020845117528;2858.473259423381;2770.236931614866
IC348 415;M6.25;56.25;2835.805580290328;2883.038881684004;2792.5250942368634
MHO 5;M6;56.0;2858.473259423381;2910.8205345344845;2814.1020845117528
