# Name; SpTy; SpTyNum; Teff; Mstar_b15+mesa; Mstar_ll; Mstar_ul; Mstar_b98+mesa; Mstar_b98_ll; Mstar_b98_ul; LogLstar_b15+mesa; LogLstar_ll; LogLstar_ul; LogLstar_b98+mesa; LogLstar_b98_ll; LogLstar_b98_ul
FT Tau;M0;50.0;3898.2856475746157;0.5575147332864749;0.5017773206930981;0.5978070202580585;1.1224099206520999;1.0146747702744874;1.1818868797792157;-0.10820192082657346;-0.1744827637470938;-0.06369572157709498;0.2144317809407373;0.14291569185647407;0.25867247867410753
IRAS 04370+2559;M0;50.0;3898.2856475746157;0.5575147332864749;0.5017773206930981;0.5978070202580585;1.1224099206520999;1.0146747702744874;1.1818868797792157;-0.10820192082657346;-0.1744827637470938;-0.06369572157709498;0.2144317809407373;0.14291569185647407;0.25867247867410753
FV Tau A;K5;45.0;4209.986541877521;0.8202365449499879;0.7535231837419363;0.9068237315832957;1.410618011256509;1.344814294895549;1.5081090789532148;0.14397731599394575;0.08728347423516515;0.21211682852247005;0.423461255811828;0.3854016498849923;0.46220053706099845
FY Tau;K5;45.0;4209.986541877521;0.8202365449499879;0.7535231837419363;0.9068237315832957;1.410618011256509;1.344814294895549;1.5081090789532148;0.14397731599394575;0.08728347423516515;0.21211682852247005;0.423461255811828;0.3854016498849923;0.46220053706099845
HN Tau A;K5;45.0;4209.986541877521;0.8202365449499879;0.7535231837419363;0.9068237315832957;1.410618011256509;1.344814294895549;1.5081090789532148;0.14397731599394575;0.08728347423516515;0.21211682852247005;0.423461255811828;0.3854016498849923;0.46220053706099845
LkCa 15;K5;45.0;4209.986541877521;0.8202365449499879;0.7535231837419363;0.9068237315832957;1.410618011256509;1.344814294895549;1.5081090789532148;0.14397731599394575;0.08728347423516515;0.21211682852247005;0.423461255811828;0.3854016498849923;0.46220053706099845
DR Tau;K5;45.0;4209.986541877521;0.8202365449499879;0.7535231837419363;0.9068237315832957;1.410618011256509;1.344814294895549;1.5081090789532148;0.14397731599394575;0.08728347423516515;0.21211682852247005;0.423461255811828;0.3854016498849923;0.46220053706099845
DS Tau;K5;45.0;4209.986541877521;0.8202365449499879;0.7535231837419363;0.9068237315832957;1.410618011256509;1.344814294895549;1.5081090789532148;0.14397731599394575;0.08728347423516515;0.21211682852247005;0.423461255811828;0.3854016498849923;0.46220053706099845
RW Aur B;K5;45.0;4209.986541877521;0.8202365449499879;0.7535231837419363;0.9068237315832957;1.410618011256509;1.344814294895549;1.5081090789532148;0.14397731599394575;0.08728347423516515;0.21211682852247005;0.423461255811828;0.3854016498849923;0.46220053706099845
IRAS 04260+2642;K5.5;45.5;4140.645154218775;0.7535231837419363;0.704333421049822;0.8202365449499879;1.344814294895549;1.2980329858452113;1.410618011256509;0.08728347423516515;0.04271253062571746;0.14397731599394575;0.3854016498849923;0.3517979305680048;0.423461255811828
FV Tau B;K6;46.0;4085.80991701806;0.704333421049822;0.670207417797558;0.7535231837419363;1.2980329858452113;1.2644791047310182;1.344814294895549;0.04271253062571746;0.010213399867965045;0.08728347423516515;0.3517979305680048;0.3252712662013562;0.3854016498849923
DG Tau;K6;46.0;4085.80991701806;0.704333421049822;0.670207417797558;0.7535231837419363;1.2980329858452113;1.2644791047310182;1.344814294895549;0.04271253062571746;0.010213399867965045;0.08728347423516515;0.3517979305680048;0.3252712662013562;0.3854016498849923
JH 112 A;K6;46.0;4085.80991701806;0.704333421049822;0.670207417797558;0.7535231837419363;1.2980329858452113;1.2644791047310182;1.344814294895549;0.04271253062571746;0.010213399867965045;0.08728347423516515;0.3517979305680048;0.3252712662013562;0.3854016498849923
HV Tau C;K6;46.0;4085.80991701806;0.704333421049822;0.670207417797558;0.7535231837419363;1.2980329858452113;1.2644791047310182;1.344814294895549;0.04271253062571746;0.010213399867965045;0.08728347423516515;0.3517979305680048;0.3252712662013562;0.3854016498849923
GG Tau Aab;K7;47.0;4020.370093296445;0.6495002826954142;0.640197883439191;0.670207417797558;1.2429365074290921;1.2328290535862814;1.2644791047310182;-0.010200206832496686;-0.019551999583642503;0.010213399867965045;0.3077432319992459;0.29949150393246443;0.3252712662013562
BP Tau;K7;47.0;4020.370093296445;0.6495002826954142;0.640197883439191;0.670207417797558;1.2429365074290921;1.2328290535862814;1.2644791047310182;-0.010200206832496686;-0.019551999583642503;0.010213399867965045;0.3077432319992459;0.29949150393246443;0.3252712662013562
V807 Tau A;K7;47.0;4020.370093296445;0.6495002826954142;0.640197883439191;0.670207417797558;1.2429365074290921;1.2328290535862814;1.2644791047310182;-0.010200206832496686;-0.019551999583642503;0.010213399867965045;0.3077432319992459;0.29949150393246443;0.3252712662013562
GI Tau;K7;47.0;4020.370093296445;0.6495002826954142;0.640197883439191;0.670207417797558;1.2429365074290921;1.2328290535862814;1.2644791047310182;-0.010200206832496686;-0.019551999583642503;0.010213399867965045;0.3077432319992459;0.29949150393246443;0.3252712662013562
GK Tau;K7;47.0;4020.370093296445;0.6495002826954142;0.640197883439191;0.670207417797558;1.2429365074290921;1.2328290535862814;1.2644791047310182;-0.010200206832496686;-0.019551999583642503;0.010213399867965045;0.3077432319992459;0.29949150393246443;0.3252712662013562
DL Tau;K7;47.0;4020.370093296445;0.6495002826954142;0.640197883439191;0.670207417797558;1.2429365074290921;1.2328290535862814;1.2644791047310182;-0.010200206832496686;-0.019551999583642503;0.010213399867965045;0.3077432319992459;0.29949150393246443;0.3252712662013562
