M/Ms	Teff	L/Ls	g	R/Rs
0.01	1714	-3.7	4.02	0.161
0.015	2280	-3.05	4.05	0.192
0.02	2525	-2.65	3.95	0.248
0.03	2699	-2.29	3.88	0.329
0.04	2784	-2.22	4	0.333
0.05	2849	-2.13	4.04	0.353
0.06	2903	-2.05	4.07	0.375
0.07	2948	-1.97	4.09	0.396
0.072	2956	-1.96	4.09	0.401
0.075	2968	-1.93	4.09	0.411
0.08	2986	-1.89	4.09	0.424
0.09	3017	-1.83	4.09	0.445
0.1	3045	-1.8	4.13	0.453
0.11	3069	-1.74	4.12	0.477
0.13	3115	-1.64	4.12	0.517
0.15	3155	-1.56	4.13	0.554
0.17	3192	-1.48	4.12	0.593
0.2	3234	-1.4	4.13	0.637
0.3	3364	-1.17	4.15	0.765
0.4	3518	-0.99	4.17	0.864
0.5	3669	-0.84	4.19	0.944
0.6	3798	-0.72	4.21	1.01
0.7	3923	-0.61	4.22	1.071
0.8	4049	-0.51	4.23	1.133
0.9	4184	-0.41	4.24	1.192
1	4327	-0.3	4.24	1.256
1.1	4481	-0.2	4.24	1.321
1.2	4647	-0.09	4.23	1.398
1.3	4837	0.04	4.21	1.489
1.4	5064	0.18	4.17	1.602
