m	Teff	logL	logg	NOTRADIUS_mv
0.02	2542	-2.49	3.794	15.5
0.03	2706	-2.18	3.772	14
0.04	2794	-1.92	3.688	13.02
0.05	2844	-1.73	3.626	12.41
0.055	2865	-1.65	3.601	12.15
0.06	2887	-1.57	3.579	11.91
0.07	2920	-1.45	3.538	11.52
0.072	2925	-1.43	3.532	11.45
0.075	2932	-1.39	3.521	11.36
0.08	2943	-1.34	3.504	11.21
0.09	2972	-1.25	3.477	10.92
0.1	3002	-1.16	3.453	10.64
0.11	3023	-1.08	3.432	10.42
0.13	3072	-0.96	3.405	10.03
0.15	3120	-0.85	3.39	9.7
0.175	3163	-0.76	3.387	9.42
0.2	3193	-0.7	3.401	9.24
0.25	3242	-0.61	3.434	8.97
0.3	3281	-0.53	3.455	8.74
0.35	3318	-0.46	3.47	8.53
0.4	3357	-0.39	3.482	8.33
0.45	3388	-0.34	3.494	8.16
0.5	3427	-0.28	3.505	7.97
0.57	3485	-0.21	3.515	7.69
0.6	3507	-0.17	3.515	7.57
0.62	3525	-0.15	3.518	7.48
0.7	3593	-0.08	3.534	7.17
0.75	3632	-0.04	3.54	6.98
0.8	3670	0	3.546	6.8
0.85	3705	0.04	3.55	6.63
0.9	3752	0.03	3.607	6.53
0.95	3776	0.11	3.561	6.3
1	3810	0.13	3.575	6.16
1.05	3841	0.17	3.57	6
1.1	3871	0.21	3.571	5.86
1.15	3899	0.23	3.576	5.73
1.2	3978	0.28	3.583	5.08
1.3	4098	0.35	3.597	4.63
1.4	4197	0.42	3.604	4.33
