# Name; SpTy; SpTyNum; Teff; Mstar_b15+mesa; Mstar_ll; Mstar_ul; Mstar_b98+mesa; Mstar_b98_ll; Mstar_b98_ul; LogLstar_b15+mesa; LogLstar_ll; LogLstar_ul; LogLstar_b98+mesa; LogLstar_b98_ll; LogLstar_b98_ul
ISO-Oph 023;M7;57.0;2770.236931614866;0.03867945234320011;0.03148864543620686;0.046937741436402516;0.03703315026705396;0.031360135953365495;0.043932352347228434;-1.9430054434112907;-2.120031418720287;-1.7654901499817321;-2.000597112516619;-2.1645346193813;-1.8462909363037847
ISO-Oph 032;M6.5;56.5;2814.1020845117528;0.046937741436402516;0.03867945234320011;0.05719840418811437;0.043932352347228434;0.03703315026705396;0.05296150141577165;-1.7654901499817321;-1.9430054434112907;-1.5876634074190077;-1.8462909363037847;-2.000597112516619;-1.6917557307834832
ISO-Oph 033;M8;58.0;2670.232301104564;0.02575237478180291;0.02166162353156502;0.03148864543620686;0.027081932101733756;0.024094353774568204;0.031360135953365495;-2.265724114952652;-2.3730032498588463;-2.120031418720287;-2.3216876881535957;-2.450224680608537;-2.1645346193813
ISO-Oph 082;M2.5;52.5;3489.109397997584;0.3370216881412584;0.2959744281207178;0.37518607504751167;0.48273768741819073;0.39202530572341043;0.5766404783854757;-0.6633790699176823;-0.7384457574401176;-0.5980552353950175;-0.46026309908455504;-0.583680694012902;-0.35817521777748285
ISO-Oph 094;M1.5;51.5;3636.7616585078304;0.4179267705409381;0.37518607504751167;0.4692901223702454;0.6893764146037984;0.5766404783854757;0.8227769632362544;-0.5297718855711128;-0.5980552353950175;-0.45400399419814497;-0.2576315050202225;-0.35817521777748285;-0.15458091991776285
ISO-Oph 158;M2;52.0;3560.913245767245;0.37518607504751167;0.3370216881412584;0.4179267705409381;0.5766404783854757;0.48273768741819073;0.6893764146037984;-0.5980552353950175;-0.6633790699176823;-0.5297718855711128;-0.35817521777748285;-0.46026309908455504;-0.2576315050202225
ISO-Oph 160;M7.5;57.5;2721.803040484453;0.03148864543620686;0.02575237478180291;0.03867945234320011;0.031360135953365495;0.027081932101733756;0.03703315026705396;-2.120031418720287;-2.265724114952652;-1.9430054434112907;-2.1645346193813;-2.3216876881535957;-2.000597112516619
ISO-Oph 165;M2.5;52.5;3489.109397997584;0.3370216881412584;0.2959744281207178;0.37518607504751167;0.48273768741819073;0.39202530572341043;0.5766404783854757;-0.6633790699176823;-0.7384457574401176;-0.5980552353950175;-0.46026309908455504;-0.583680694012902;-0.35817521777748285
