,name,ra,dec,pmra,pmdec,epmra,epmdec,rv,erv,plx,eplx
231,2MASS J05392633-0228376,84.85974424943001,-2.4771440923,1.524,-0.843,0.184,0.177,,,2.7001,0.1387
232,2MASS J05392677-0242583,84.86156509849,-2.71621458723,1.869,-0.7809999999999999,0.16,0.132,,,2.3865,0.0898
233,[BZR99] S Ori 36,84.86191122763,-2.61562172316,,,,,,,,
234,2MASS J05392935-0227209,84.87231083614,-2.45584468874,1.651,-0.251,0.10300000000000001,0.099,,,2.5824,0.0686
235,V* RV Ori,84.91737936845,-2.34667694435,2.405,-0.16699999999999998,0.04,0.040999999999999995,,,2.5133,0.0251
236,2MASS J05394318-0232433,84.92994193059,-2.54538361493,1.8230000000000002,-0.344,0.14,0.13,,,2.7562,0.1003
237,[BZR99] S Ori 10,84.93544849515,-2.41201389119,1.983,-0.385,0.273,0.261,,,2.4195,0.2166
238,2MASS J05394944-0223459,84.95602612001,-2.3961012867400004,2.387,-0.021,0.159,0.152,,,2.2915,0.1181
239,Haro 5-32,84.9734280898,-2.5618692388900004,2.4,-0.314,0.11699999999999999,0.102,,,2.5795,0.0694
240,2MASS J05395421-0227326,84.97586141986,-2.45909274907,1.87,-0.49,0.196,0.182,,,2.6194,0.1424
241,Mayrit 1045094,84.97635517403,-2.6219415879,2.542,-1.48,0.738,0.677,,,2.3001,0.3895
242,Haro 5-34,84.97774187581,-2.77614995111,2.123,-0.725,0.051,0.048,,,2.4585,0.0303
243,2MASS J05400101-0219597,85.00423860586,-2.3332893233700003,2.201,-0.4,0.171,0.17300000000000001,,,2.4791,0.1294
244,Haro 5-36,85.00815934559,-2.3590648907799996,2.419,0.016,0.126,0.125,,,2.6834,0.0838
245,V* V608 Ori,85.03703539297,-2.5593852941299997,2.217,-0.22899999999999998,0.062,0.053,,,2.4816,0.0347
246,2MASS J05380097-0226079,84.50406373109999,-2.43554293091,1.749,-1.328,0.105,0.08800000000000001,,,2.8637,0.0552
247,Kiso A-0904 67,84.52811154198001,-2.50632046252,1.035,-0.38299999999999995,0.07400000000000001,0.07400000000000001,,,2.3539,0.0424
248,2MASS J05381319-0226088,84.55498861871,-2.43573769993,,,,,,,,
249,2MASS J05381824-0248143,84.57602302779999,-2.80400173814,1.3430000000000002,-0.9890000000000001,0.12300000000000001,0.109,,,2.4818,0.0792
250,[W96] rJ053820-0234,84.58543521045,-2.56916238656,1.204,-0.488,0.276,0.226,,,2.9181,0.165
251,2MASS J05382307-0236493,84.59641873319,-2.61368282818,,,,,,,,
252,V* V2725 Ori,84.59724373079,-2.4262850932099997,1.693,-1.48,0.209,0.19899999999999998,,,2.6476,0.1118
253,V* V2726 Ori,84.59829442636999,-2.34656737003,,,,,,,,
254,V* V2728 Ori,84.60599298768001,-2.7114667859400003,1.9669999999999999,-1.2,0.8290000000000001,0.85,,,2.9507,0.3527
255,[BNM2013] 93.03 227,84.61184879996999,-2.64614636691,1.107,-1.2990000000000002,0.251,0.21899999999999997,,,2.835,0.141
256,V* V505 Ori,84.61357197978,-2.75269989123,1.129,-0.675,0.064,0.057999999999999996,,,2.5164,0.0386
257,Kiso A-0976 329,84.61463530578,-2.58450957665,1.266,-0.319,0.11900000000000001,0.102,,,2.4787,0.0678
