Tracer,a,a_err,b,b_err,std
H_alpha,1.13,0.05,1.74,0.19,0.41
H_beta,1.14,0.04,2.59,0.16,0.3
H_gamma,1.11,0.03,2.69,0.17,0.29
H_delta,1.07,0.04,2.64,0.18,0.32
H_epsilon,1.06,0.04,2.69,0.18,0.32
Pa_beta,1.06,0.07,2.76,0.34,0.45
Pa_gamma,1.24,0.06,3.58,0.27,0.36
Br_gamma,1.19,0.1,4.02,0.51,0.45
He_I_587.6,1.15,0.04,3.67,0.21,0.31
He_I_667.8,1.25,0.06,4.7,0.33,0.36
Ca_II_K,1.03,0.04,2.5,0.18,0.33
Ca_II_H,1.06,0.03,2.65,0.16,0.28
Ca_II_866.2,0.93,0.06,2.3,0.3,0.49
