Tracer,a,a_err,b,b_err,std
Ha,1.12,0.05,1.5,0.19,0.41
Hb,1.11,0.04,2.31,0.16,0.3
Hg,1.09,0.03,2.50,0.17,0.29
PaB,1.04,0.07,2.45,0.34,0.45
PaG,1.18,0.06,3.17,0.27,0.36
BrG,1.16,0.1,3.60,0.51,0.45
He I 587.6,1.13,0.04,3.51,0.21,0.31
He I 667.8,1.16,0.06,4.12,0.33,0.36
Ca II K,0.96,0.04,2.06,0.18,0.33
Ca II H,1.02,0.03,2.37,0.16,0.28
