,Source,Reference,Adopted Mass,Object Radius,Old Accr Rate,Ha Accr Rate,PaB Accr Rate,BrG Accr Rate,Avg Accr Rate
241,EM* SR 24B,Natta 2006,0.7079458000000001,3.01,7.08e-08,,3.286099918494222e-08,,3.286099918494222e-08
242,ISO-Oph 089,Natta 2006,0.1148154,1.38,1.32e-10,,2.7829193827803127e-10,,2.7829193827803127e-10
243,ISO-Oph 091,Natta 2006,0.8128305,3.23,,,,,
244,ISO-Oph 092,Natta 2006,1.023293,3.58,1.58e-07,,4.857032588997511e-08,,4.857032588997511e-08
245,ISO-Oph 093,Natta 2006,0.2951209,2.21,3.8900000000000004e-08,,,,
246,ISO-Oph 094,Manara 2015,0.397987,0.4,4.7899999999999996e-12,,9.802651148080364e-12,,9.802651148080364e-12
247,ISO-Oph 095,Natta 2006,0.33113109999999996,2.34,8.71e-10,,3.7359037183266805e-09,,3.7359037183266805e-09
248,ISO-Oph 098,Natta 2006,0.3235937,2.28,1e-09,,3.826091423321118e-09,,3.826091423321118e-09
249,ISO-Oph 102,Manara 2015,0.058417,0.4,1.0500000000000001e-10,2.328407745194068e-10,,,2.328407745194068e-10
250,ISO-Oph 102,Natta 2006,0.058417,0.4,4.27e-10,,5.655073823561003e-10,,5.655073823561003e-10
251,ISO-Oph 103,Natta 2006,1.0964782,3.62,,,4.8444738435641625e-09,,4.8444738435641625e-09
252,ISO-Oph 105,Gatti 2006,0.35,2.69,9.33e-09,,1.6768582903825476e-10,,1.6768582903825476e-10
253,ISO-Oph 105,Natta 2006,0.616595,2.94,8.51e-09,,6.860855140049832e-09,,6.860855140049832e-09
254,ISO-Oph 106,Natta 2006,0.2238721,2.01,9.77e-10,,1.887233821037117e-09,,1.887233821037117e-09
255,ISO-Oph 107,Natta 2006,0.2754229,2.16,,,1.2522824701632097e-09,,1.2522824701632097e-09
256,ISO-Oph 108,Natta 2006,3.0199517000000005,,1.45e-06,,,,
257,ISO-Oph 110,Natta 2006,0.9120108,3.42,1.45e-09,,1.9215946777131603e-09,,1.9215946777131603e-09
258,ISO-Oph 112,Natta 2006,0.9120108,3.38,,,4.1248538374325815e-08,,4.1248538374325815e-08
259,ISO-Oph 113,Natta 2006,,,,,,,
260,ISO-Oph 114,Natta 2006,4.3651583,6.29,,,3.42851318028253e-07,,3.42851318028253e-07
261,ISO-Oph 115,Gatti 2006,0.6,0.6,1.5499999999999998e-11,,,,
262,ISO-Oph 115,Manara 2015,0.51,1.0,2.0400000000000002e-10,,3.374729757193531e-10,,3.374729757193531e-10
263,ISO-Oph 115,Natta 2006,0.08317639999999998,1.11,7.240000000000001e-10,,1.0647736308742485e-09,,1.0647736308742485e-09
264,ISO-Oph 116,Natta 2006,0.5011872,2.75,3.09e-09,,3.6534099489907475e-09,,3.6534099489907475e-09
265,ISO-Oph 117,Gatti 2006,0.6,1.27,2.3399999999999998e-09,,1.492871926084184e-10,9.339383921466076e-10,5.41612792377513e-10
