,Source,Reference,Adopted Mass,Object Radius,Old Accr Rate,Ha Accr Rate,PaB Accr Rate,BrG Accr Rate,Avg Accr Rate
431,[BZR99] S Ori 15,Rigliaco 2011,0.11,0.6,2.0000000000000002e-11,,,,
432,2MASS J05384818-0244007,Rigliaco 2011,0.1,0.74,2.8800000000000003e-11,,,,
433,V* V2737 Ori,Rigliaco 2011,0.09,0.64,9.33e-11,,,,
434,[BNM2013] 92.01 11,Rigliaco 2011,0.3,1.34,2.1399999999999998e-10,,,,
435,2MASS J05385060-0242429,Rigliaco 2011,0.13,0.78,3.6299999999999994e-11,,,,
436,V* RU Ori,Rigliaco 2011,1.0,1.43,6.759999999999999e-10,,,,
437,2MASS J05385831-0216101,Rigliaco 2011,0.7,1.12,3.5499999999999996e-10,,,,
438,Haro 5-18,Rigliaco 2011,0.35,0.71,1.51e-10,,,,
439,Haro 5-16,Rigliaco 2011,0.6,1.67,1.1199999999999999e-09,,,,
440,2MASS J05390193-0235029,Rigliaco 2011,0.2,0.53,1.38e-10,,,,
441,2MASS J05390193-0235029,Rigliaco 2012,0.19,0.46,4.0700000000000006e-11,9.508527594121775e-11,6.221964807895967e-11,,7.86524620100887e-11
442,2MASS J05390297-0241272,Rigliaco 2011,0.35,1.19,2.4500000000000003e-10,,,,
443,ESO-HA 1693,Rigliaco 2011,0.35,1.04,3.1600000000000005e-10,,,,
444,2MASS J05390387-0220081,Rigliaco 2011,0.2,0.73,7.59e-11,,,,
445,Haro 5-19,Rigliaco 2011,0.8,1.73,7.41e-10,,,,
446,2MASS J05390853-0251465,Rigliaco 2011,0.6,1.53,4.17e-10,,,,
447,2MASS J05390878-0231115,Rigliaco 2011,0.2,1.03,4.27e-10,,,,
448,[KJN2005] 33,Rigliaco 2011,0.2,0.53,1.95e-11,,,,
449,Haro 5-20,Rigliaco 2011,0.7,1.31,2.9499999999999996e-10,,,,
450,[BZR99] S Ori 30,Rigliaco 2011,0.08,0.4,6.4599999999999995e-12,,,,
451,[BNM2013] 90.02 146,Rigliaco 2011,0.25,0.87,5.62e-11,,,,
452,2MASS J05391807-0229284,Rigliaco 2011,1.3,2.05,,,,,
453,Haro 5-21,Rigliaco 2011,0.9,1.68,5.75e-10,,,,
454,2MASS J16115979-3823383,Alcala 2017,0.15,0.85,6.310000000000001e-11,,,,
455,2MASS J16090141-3925119,Alcala 2017,0.24,1.25,2.0899999999999998e-10,,,,
456,2MASS J15450887-3417333,Alcala 2017,0.14,0.85,3.8900000000000004e-09,2.2421652459127005e-09,2.7658725721177844e-09,3.636032422286104e-09,2.881356746772196e-09
457,SSTc2dJ154518.5-342125,Alcala 2017,0.1,0.78,1.58e-11,1.779196700522269e-10,4.345803436321523e-11,9.716263042618533e-11,1.0618011161387581e-10
458,SSTc2dJ155925.2-423507,Alcala 2017,0.12,0.48,6.3099999999999996e-12,4.8355641548365844e-12,1.2158240116385086e-11,1.7276062544738434e-11,1.1423288938653368e-11
459,SSTc2dJ160000.6-422158,Alcala 2017,0.19,0.96,1.6199999999999998e-10,4.185011450754404e-11,1.6220437936602517e-10,1.930089711184605e-10,1.3235448833067656e-10
460,SSTc2dJ160002.4-422216,Alcala 2017,0.24,1.2,2.0400000000000002e-10,2.999788501508201e-10,2.6524991979113777e-10,6.142845386223469e-10,3.931711028547682e-10
461,SSTc2dJ160026.1-415356,Alcala 2017,0.14,0.91,1.32e-10,7.102129548430133e-11,1.9499942681117393e-10,2.455514907580432e-10,1.705240710178395e-10
462,SSTc2dJ160703.9-391112,Alcala 2017,0.17,0.23,3.16e-13,4.068450643579493e-13,1.7634004138806212e-12,3.2656452342080655e-12,1.8119635708155452e-12
463,SSTc2dJ160830.7-382827,Alcala 2017,1.81,2.41,8.51e-10,,,,
464,SSTc2dJ160836.2-392302,Alcala 2017,0.47,2.63,1.91e-08,7.131530332556574e-09,,3.6442322348196143e-09,5.3878812836880945e-09
465,SSTc2dJ160927.0-383628,Alcala 2017,0.2,1.1,1.1200000000000001e-08,1.111966096388513e-09,,4.682094975806188e-10,7.900877969845658e-10
466,SSTc2dJ161018.6-383613,Alcala 2017,0.15,0.84,3.98e-11,2.079335215111117e-11,,,2.079335215111117e-11
467,SSTc2dJ161019.8-383607,Alcala 2017,0.1,1.03,5.0100000000000007e-11,9.008178566059857e-12,,,9.008178566059857e-12
468,SSTc2dJ161029.6-392215,Alcala 2017,0.22,1.29,1.51e-10,4.9959892462093673e-11,,,4.9959892462093673e-11
469,SSTc2dJ161243.8-381503,Alcala 2017,0.47,1.91,1.66e-09,1.196268511401818e-09,,,1.196268511401818e-09
470,SSTc2dJ161344.1-373646,Alcala 2017,0.16,0.9,1.15e-09,5.156564462358686e-10,,1.6345423183796824e-10,3.395553390369184e-10
471,Sz100,Alcala 2017,0.18,1.43,3.2399999999999997e-10,,,,
472,Sz103,Alcala 2017,0.25,1.41,9.120000000000001e-10,,,,
473,Sz104,Alcala 2017,0.18,1.11,1.5800000000000002e-10,,,,
474,Sz106,Alcala 2017,0.51,0.72,1.8200000000000002e-10,,,,
475,NAME Sz 108B,Alcala 2017,0.19,1.33,3.5499999999999996e-10,5.465930718749948e-10,2.1696920504056623e-10,2.360005167502056e-10,3.3318759788858884e-10
476,Sz110,Alcala 2017,0.26,1.61,2.51e-09,,,,
477,Sz111,Alcala 2017,0.46,1.4,7.76e-10,,,,
478,Sz112,Alcala 2017,0.2,1.52,1.95e-10,,,,
479,Sz113,Alcala 2017,0.19,0.83,1.4099999999999999e-09,,,,
480,Sz114,Alcala 2017,0.23,1.82,1.02e-09,,,,
481,Sz115,Alcala 2017,0.22,1.36,5.01e-10,,,,
482,Sz117,Alcala 2017,0.29,2.0,2.2399999999999997e-09,6.362412802153122e-10,4.113072583963232e-10,5.14272515992151e-10,5.206070182012621e-10
483,Sz118,Alcala 2017,1.09,1.82,1.07e-09,6.832064773540022e-10,9.274922676984602e-10,5.315947067688907e-10,7.140978172737844e-10
484,THA 15-42,Alcala 2017,0.46,1.1,1.55e-09,,,,
485,NAME THA 15-42B,Alcala 2017,0.34,0.58,1.38e-10,,,,
486,Sz129,Alcala 2017,0.8,1.23,3.8900000000000004e-09,1.2520543633962785e-09,9.755394691426517e-10,1.0039289760351422e-09,1.0771742695246908e-09
487,Sz130,Alcala 2017,0.37,1.03,7.08e-10,,,,
488,Sz131,Alcala 2017,0.3,1.04,5.62e-10,1.828457596108429e-10,8.837060013408961e-11,2.6765833113685614e-10,1.7962489696059622e-10
489,Sz65,Alcala 2017,0.76,1.84,2.4500000000000003e-10,3.347042096419945e-10,2.898245878706701e-10,6.415514158246483e-10,4.2202673777910427e-10
490,Sz66,Alcala 2017,0.31,1.29,2.6899999999999996e-09,,,,
491,Sz68,Alcala 2017,2.13,3.14,3.8e-09,5.868610959545958e-09,7.349338197805956e-09,4.723602078691309e-09,5.980517078681074e-09
492,Sz69,Alcala 2017,0.19,0.97,3.31e-10,,,,
493,Sz71,Alcala 2017,0.42,1.43,8.71e-10,,,,
494,Sz72,Alcala 2017,0.38,1.29,2.1899999999999997e-09,,,,
495,Sz73,Alcala 2017,0.82,1.35,6.609999999999999e-09,,,,
496,Sz74,Alcala 2017,0.29,3.13,1.38e-08,,,,
497,CD-35 10525,Alcala 2017,0.51,2.26,1.91e-08,3.441801445359393e-08,3.12590382467763e-08,3.151238797888348e-08,3.2396480226417904e-08
498,Sz76,Alcala 2017,0.25,1.24,5.01e-10,4.182562626847091e-10,4.364395898700811e-10,5.762601265513941e-10,4.769853263687281e-10
499,Sz77,Alcala 2017,0.79,1.5,1.55e-09,4.495430983242601e-10,1.7376799446205336e-09,1.9545689833162322e-09,1.3805973420870084e-09
500,NAME THA 15-10A,Alcala 2017,0.23,1.54,8.51e-10,1.324944468391584e-09,1.40191773012095e-09,9.178366964707601e-10,1.214899631661098e-09
501,NAME THA 15-10B,Alcala 2017,0.15,1.18,2e-10,1.1937963221303827e-10,3.195801117287259e-10,3.354149380268217e-10,2.5812489398952865e-10
502,THA 15-12,Alcala 2017,1.1,2.69,7.94e-09,2.6004510693316497e-09,3.024483555551777e-09,3.9618085474811874e-09,3.1955810574548716e-09
503,Sz83,Alcala 2017,0.75,2.39,6.46e-08,,,,
504,Sz84,Alcala 2017,0.18,1.21,5.37e-10,,,,
505,V* HO Lup A,Alcala 2017,0.57,1.61,7.240000000000001e-09,,,,
506,V* HO Lup B,Alcala 2017,0.2,1.12,1.8200000000000002e-10,,,,
507,Sz90,Alcala 2017,0.79,1.64,2.09e-09,8.13516044143136e-10,1.2125784681332192e-09,1.6382197175996163e-09,1.2214380766253238e-09
508,Sz91,Alcala 2017,0.47,1.36,1.8600000000000002e-09,,,,
509,Sz95,Alcala 2017,0.33,1.84,7.08e-10,8.546649139821563e-11,9.766118109463916e-11,1.222265402038831e-10,1.017847375655793e-10
510,Sz96,Alcala 2017,0.46,2.02,8.91e-10,3.7285853313249597e-10,1.072134147011162e-09,1.1434325065742593e-09,8.628083955726391e-10
511,Sz97,Alcala 2017,0.25,1.34,2.75e-10,,,,
512,Sz98,Alcala 2017,0.74,3.2,5.5e-08,1.4518867396071651e-08,1.2838231102139636e-08,1.1432460147339444e-08,1.2929852881850245e-08
513,Sz99,Alcala 2017,0.22,0.89,4.07e-10,,,,
514,V* UY Cha,Muzerolle 2005,0.18,1.2,,,,,
515,V* SX Cha,Muzerolle 2005,0.35,,,,,,
516,V* SX Cha,Muzerolle 2005,0.73,1.2,,,,,
517,NAME TW Hya b,Herczeg 2009,0.77,0.83,7.939999999999999e-10,7.559319589389712e-09,,,7.559319589389712e-09
518,UScoCTIO 112,Herczeg 2009,0.09,0.37,6.31e-13,5.5607858848317535e-12,,,5.5607858848317535e-12
519,V* UY Aur,Gullbring 1998,0.421,2.6,6.559999999999999e-08,,,,
520,PDS 70 b,Haffert 2019,0.0100191,,1.9079999999999997e-11,,,,
521,PDS 70 c,Haffert 2019,0.0041985,,9.542e-12,,,,
522,PDS 70 b,Wagner 2018,0.006679399999999999,0.10049,1.9040000000000004e-12,1.7621761838338332e-10,,,1.7621761838338332e-10
523,DH Tau b,Zhou 2014,0.0104962,0.271323,5.011999999999999e-12,6.951059767400753e-14,,,6.951059767400753e-14
524,DH Tau b,Zhou 2014,0.0104962,,5.0109999999999995e-12,,,,
525,Lk Ca 15b,Sallum 2015,0.004771,0.16078399999999998,5.725e-10,,,,
526,PDS 70 b ,Aoyama 2019,0.0114504,,3.817e-11,,,,
527,PDS 70 c,Aoyama 2019,0.009542,,9.542e-12,,,,
528,USCO J1608-2315,Petrus 2020,0.022903200000000002,0.26,8.128e-13,2.827468069763052e-12,,,2.827468069763052e-12
529,DENIS-P J1538317−103850,Nguyen-Thanh 2020,,0.29,,,,,
530,CD-35 10525B,Wu 2017,0.023855,0.5,5.0000000000000005e-12,1.889542330950218e-11,,,1.889542330950218e-11
531,PDS 70 b,Hashimoto 2020,0.0114504,0.20098,4.771e-10,1.7788309963945386e-12,,,1.7788309963945386e-12
