Simbad-Resolvable Name,Source,Alternative Names,Star Forming Region,COORDS,Disk Type,Reference,Epoch,Effective Temperature K,Temp err,Sp Type,Sp Type Err,Method,Wavelength Range,Instrument,Tracer,Accretion Diagnostic,Line Flux erg/s/cm^2,Object Luminosity L_solar,Object Luminosity Error,Object Radius from L and T,R_err from L and T,Object Radius R_solar,R_err,Accretion Rate M_solar yr-1,Log Accretion Rate,Object Mass Range M_solar,Object Mass M_Solar,Object Mass Err,log object mass,Accretion Luminosity (CGS),Log Accretion Luminosity (solar),Age range Myr,System Age Myr,Companion?,A_V,A_V err,A_V source,Notes/Questions,Notes/Questions2,Notes/Questions3,
2MASS J11020983-3430355,2MASS J11020983-3430355,SSPM J1102-3431,TW HyA,165.5417 -34.5100,II,Herczeg 2009,"May 28, 2008",2550,,M8.5,,Low resolution spectra,3200-9000 A,Keck I/LRIS,Excess,Excess Balmer,,,,,,0.23,,1.58E-13,-12.8,,0.026,,,,-6.3,,8,,0,,Herczeg+2009,,,,
2MASS J16060374-2219298,2MASS J16060374-2219298,Usco J160603.75-221930.0,Upper Scorpio,241.5167 -22.3250,II,Herczeg 2009,"May 28, 2008",2478,,M8.75,,Low resolution spectra,3200-9000 A,Keck I/LRIS,Excess,Excess Balmer,,,,,,0.17,,5.01E-13,-12.3,,0.033,,,,-5.6,,11,,0,,Herczeg+2009,,,,
2MASS J16072382-2211018,2MASS J16072382-2211018,USco J160723.82221102.0,Upper Scorpio,241.85 -22.1839,II,Herczeg 2009,"May 28, 2008",2550,,M8.5,,Low resolution spectra,3200-9000 A,Keck I/LRIS,Excess,Excess Balmer,,,,,,0.22,,5.01E-12,-11.3,,0.027,,,,-4.8,,11,,0.3,,Herczeg+2009,upper limit,,,
2MASS J15591135-2338002,2MASS J15591135-2338002,UScoCTIO 128,Upper Scorpio,239.7958 -23.6333,II,Herczeg 2009,"May 28, 2008",2880,,M7,,Low resolution spectra,3200-9000 A,Keck I/LRIS,Excess,Excess Balmer,,,,,,0.26,,3.98E-12,-11.4,,0.06,,,,-4.6,,11,,0,,Herczeg+2009,,,,
ISO-Oph 023,ISO-Oph 023,,p Oph,246.578419 -24.436256,II,Manara 2015,2010,2900,75,M7,,R 4350-6450 spectroscopy,300 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.040,,0.79,,0.79,0.2,1.41E-10,-9.85,,0.07,0.02,,,-3.51,,1,,8.5,,"Gatti+2018, converted from A_j",,,,
ISO-Oph 032,ISO-Oph 032,,p Oph,246.59128482 -24.74436689,II,Manara 2015,2010,2935,50,M6.5,,R 4350-6450 spectroscopy,302 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.033,,0.70,,0.7,0.03,3.24E-11,-10.49,,0.07,0.01,,,-4.09,,1,,2,,Natta2004,,,,
ISO-Oph 033,ISO-Oph 033,"ISO-Oph 033, GY 11",p Oph,246.592788 -24.401962,II,Manara 2015,2010,2700,75,M8,,R 4350-6450 spectroscopy,303 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.005,,0.32,,0.32,0.06,2.00E-11,-10.7,,0.03,0.02,,,-4.33,,1,,7.8,,"Gatti+2018, converted from A_j",,,,
ISO-Oph 160,ISO-Oph 160,,p Oph,246.90594683 -24.29859876,II,Manara 2015,2010,2800,50,M7.5,,R 4350-6450 spectroscopy,312 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.030,,0.74,,0.73,0.03,2.75E-10,-9.56,,0.06,0.01,,,-3.25,,1,,6.73,,"Gatti+2018, converted from A_j",,,,
2MASS J16273863-2438391,2MASS J16273863-2438391,"ISO-Oph 164, GY 310",p Oph,246.91095039 -24.64423075,II,Manara 2015,2010,2700,50,M8,,R 4350-6450 spectroscopy,313 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.052,,1.05,,1.05,0.05,1.26E-09,-8.9,,0.05,,,,-2.82,,1,,6.73,,"Gatti+2018, converted from A_j",,,,
2MASS J16274629-2431411,2MASS J16274629-2431411,ISO-Oph 176,p Oph,246.94288263 -24.52812907,II,Manara 2015,2010,2800,50,M7.5,,R 4350-6450 spectroscopy,315 - 2500 nm,X-Shooter,Line Strength,Various Line Intensity,,0.057,,1.02,,1.02,0.04,1.86E-11,-10.73,,0.06,0.08,,,-4.6,,1,,7,,Natta2004,,,,
2MASS J12073346-3932539,2MASS J12073346-3932539,2MASS 1207-3932 (Original),TW HyA,181.8875 -39.5483,U,Mohanty 2005,May 2002 - December 2003,2700,,M8.0,,High Res spectra,8662 A,MIKE,Line Strength,Ca II,4.2,,,,,,,1.26E-11,-10.9,,0.035,,,,,,8,,0,,Herczeg+2008,upper limit,Accretion rate equation 1,corrected coordinates from 181.75 -39.533,
2MASS J12073346-3932539,2MASS J12073346-3932539,2MASS 1207-3932 (Original),TW HyA,181.8875 -39.5483,U,Mohanty 2005,May 2002 - December 2003,2700,,M8.0,,High Res spectra,8662 A,MIKE,Line Strength,Ca II,4.2,,,,,,,7.94E-12,-11.1,,0.035,,,,,,8,,0,,Herczeg+2008,upper limit,Accretion rate equation 3,corrected coordinates from 181.75 -39.533,
2MASS J04394748+2601407,2MASS J04394748+2601407,"CFHT 4, CFHT-BD-Tau 4",Taurus,69.9458 26.0281,II,Mohanty 2005,May 2002 - December 2003,2900,,M7.0,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.4,,,,,,,2.00E-11,-10.7,,0.06,,,,,,1,,6.37,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1,,
2MASS J04394748+2601407,2MASS J04394748+2601407,"CFHT 4, CFHT-BD-Tau 4",Taurus,69.9458 26.0281,II,Mohanty 2005,May 2002 - December 2003,2900,,M7.0,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.4,,,,,,,1.26E-11,-10.9,,0.06,,,,,,1,,6.37,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3,,
2MASS J16273863-2438391,2MASS J16273863-2438391,"ISO-Oph 164, GY 310",p Oph,246.9125 -24.6442,III,Mohanty 2005,May 2002 - December 2003,2900,,M7.0,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.7,,,,,,,3.98E-11,-10.4,,0.06,,,,,,1,,6,,Natta+2002,,disk classification from Luhman 1999 Accretion rate equation 1,,
2MASS J16273863-2438391,2MASS J16273863-2438391,"ISO-Oph 164, GY 310",p Oph,246.9125 -24.6442,III,Mohanty 2005,May 2002 - December 2003,2900,,M7.0,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.7,,,,,,,2.51E-11,-10.6,,0.06,,,,,,1,,6,,Natta+2002,,disk classification from Luhman 1999 Accretion rate equation 3,,
Cl* IC 348 LRL 291,Cl* IC 348 LRL 291,IC348 291,IC348 ,56.1417 32.1158,U,Mohanty 2005,May 2002 - December 2003,2850,,M7.25,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.36,,,,,,,1.58E-11,-10.8,,0.05,,,,,,1,,1.06,,"Luhman+2003, converted from A_J",upper limit,Accretion rate equation 1,,
Cl* IC 348 LRL 291,Cl* IC 348 LRL 291,IC348 291,IC348 ,56.1417 32.1158,U,Mohanty 2005,May 2002 - December 2003,2850,,M7.25,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.36,,,,,,,1.00E-11,-11,,0.05,,,,,,1,,1.06,,"Luhman+2003, converted from A_J",upper limit,Accretion rate equation 3,,
Cl* IC 348 LRL 415,Cl* IC 348 LRL 415,IC348 415,IC348 ,56.1250 32.1611,II,Mohanty 2005,May 2002 - December 2003,2950,,M6.5,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,5.68,,,,,,,3.98E-10,-9.4,,0.07,,,,,,1,,2.9,,"Luhman+2003, converted from A_J",,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 1,,
Cl* IC 348 LRL 415,Cl* IC 348 LRL 415,IC348 415,IC348 ,56.1250 32.1611,II,Mohanty 2005,May 2002 - December 2003,2950,,M6.5,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,5.68,,,,,,,1.58E-10,-9.8,,0.07,,,,,,1,,2.9,,"Luhman+2003, converted from A_J",,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 3,,
2MASS J04190126+2802487,2MASS J04190126+2802487,KPNO Tau 12,Taurus,64.7542 28.0467,II,Mohanty 2005,May 2002 - December 2003,2400,,M9.0,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.62,,,,,,,3.16E-11,-10.5,,0.02,,,,,,1,,0.02,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1,,
2MASS J04190126+2802487,2MASS J04190126+2802487,KPNO Tau 12,Taurus,64.7542 28.0467,II,Mohanty 2005,May 2002 - December 2003,2400,,M9.0,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.62,,,,,,,2.00E-11,-10.7,,0.02,,,,,,1,,0.02,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3,,
2MASS J04272799+2612052,2MASS J04272799+2612052,KPNO Tau 4,Taurus,66.8667 26.2014       ,III,Mohanty 2005,May 2002 - December 2003,2300,,M9.5,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.08,,,,,,,7.94E-12,-11.1,,0.015,,,,,,1,,2.16,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1,,
2MASS J04272799+2612052,2MASS J04272799+2612052,KPNO Tau 4,Taurus,66.8667 26.2014       ,III,Mohanty 2005,May 2002 - December 2003,2300,,M9.5,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.08,,,,,,,6.31E-12,-11.2,,0.015,,,,,,1,,2.16,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3,,
2MASS J04300724+2608207,2MASS J04300724+2608207,KPNO Tau 6,Taurus,67.5292 26.1392,II,Mohanty 2005,May 2002 - December 2003,2550,,M8.5,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.34,,,,,,,1.58E-11,-10.8,,0.025,,,,,,1,,0.68,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1,,
2MASS J04300724+2608207,2MASS J04300724+2608207,KPNO Tau 6,Taurus,67.5292 26.1392,II,Mohanty 2005,May 2002 - December 2003,2550,,M8.5,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.34,,,,,,,1.00E-11,-11,,0.025,,,,,,1,,0.68,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3,,
2MASS J04305718+2556394,2MASS J04305718+2556394,KPNO Tau 7,Taurus,67.7375 25.9444,II,Mohanty 2005,May 2002 - December 2003,2650,,M8.25,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.18,,,,,,,1.00E-11,-11,,0.03,,,,,,1,,0.93,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 1,,
2MASS J04305718+2556394,2MASS J04305718+2556394,KPNO Tau 7,Taurus,67.7375 25.9444,II,Mohanty 2005,May 2002 - December 2003,2650,,M8.25,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.18,,,,,,,6.31E-12,-11.2,,0.03,,,,,,1,,0.93,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010 Accretion rate equation 3,,
DENIS J160603.9-205644,DENIS J160603.9-205644,USco DENIS 160603 (original); DENIS-P J160603.9-205644 (Herczeg 2009),TW HyA,241.5167 -20.9456,U,Mohanty 2005,May 2002 - December 2003,2800,,M7.5,,High Res spectra,8662 A,MIKE,Line Strength,Ca II,4.32,,,,,,,1.58E-11,-10.8,,0.04,,,,,,11,,0,,Herczeg+2009,upper limit,Accretion rate equation 1,,
DENIS J160603.9-205644,DENIS J160603.9-205644,USco DENIS 160603 (original); DENIS-P J160603.9-205644 (Herczeg 2009),TW HyA,241.5167 -20.9456,U,Mohanty 2005,May 2002 - December 2003,2800,,M7.5,,High Res spectra,8662 A,MIKE,Line Strength,Ca II,4.32,,,,,,,1.00E-11,-11,,0.04,,,,,,11,,0,,Herczeg+2009,upper limit,Accretion rate equation 3,,
Cl* IC 348 LRL 382,Cl* IC 348 LRL 382,IC348 382,IC348 ,56.1291 32.0456,II,Muzerolle 2003,2000-2001,,,M6.5,,R = 8000 Spectroscopy and R = 34000 spectriscopy,3908 A to 11000 A,ESI Keck II and HIRES Keck I,Line Width,Ha 10% width,,0.012,,,,0.5,,5.01E-11,-10.3,0.04,0.04,,,5.09E+26,1.27E-07,,2,,5.1,,"Luhman+2003, converted from A_J",,disk classification from Ruiz-Rodrigues 2018,2.77,
Cl* IC 348 LRL 415,Cl* IC 348 LRL 415,IC348 415,IC348 ,56.1250 32.1611,II,Muzerolle 2003,2000-2001,,,M6.25,,R = 8000 Spectroscopy and R = 34000 spectriscopy,3907 A to 11000 A,ESI Keck II and HIRES Keck I,Line Width,Ha 10% width,,0.010,,,,0.5,,5.01E-10,-9.3,0.04,0.04,,,5.09E+27,1.27E-06,,2,,2.9,,"Luhman+2003, converted from A_J",,disk classification from Ruiz-Rodrigues 2018,1.35,
2MASS J04321606+1812464,2MASS J04321606+1812464,MHO 5,Taurus,68.06693976 18.21288431,II,Muzerolle 2003,2000-2001,,,M6,,R = 8000 Spectroscopy and R = 34000 spectriscopy,3900 A to 11000 A,ESI Keck II and HIRES Keck I,Line Width,Ha 10% width,,0.066,,,,0.5,,1.58E-11,-10.8,0.09,0.09,,,3.62E+26,9.06E-08,,0.1258925412,,0.3,,Herczeg+2008,,disk classification from LUHMAN ET AL. JAN 2010,0.11,
2MASS J11013205-7718249,2MASS J11013205-7718249,2M J11013205-7718249 (original),Chamaeleon I,165.3833 -77.3069,II,Muzerolle 2005,"December 30, 2003",2710,,M8,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.3,,,,,0.035,,,,,,2,,0,,"Luhman+2007 , converted from A_j",,,,
2MASS J04141188+2811535,2MASS J04141188+2811535,,Taurus,63.549505 28.198196,II,Muzerolle 2005,"December 30, 2003",2962,,M6.25,0.50,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.53,,,-10,,0.075,,,,,,1,,1,,Herczeg+2008,,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04381486+2611399,2MASS J04381486+2611399,,Taurus,69.56192 26.194427,II,Muzerolle 2005,"December 30, 2003",2838,,M7.25,0.35,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.18,,,-10.8,,0.07,,,,,,1,,10.6,4,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04390396+2544264,2MASS J04390396+2544264,,Taurus,69.7665 25.740671,II,Muzerolle 2005,"December 30, 2003",2838,,M7.25,0.25,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.57,,,-11.3,,0.05,,,,,,1,,0.8,,Herczeg+2008,,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04414825+2534304,2MASS J04414825+2534304,,Taurus,70.45 25.5753,II,Muzerolle 2005,"December 30, 2003",2752,,M7.75,0.25,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.41,,,-11.3,,0.035,,,,,,1,,1,,Herczeg+2008,,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04554801+3028050,2MASS J04554801+3028050,,Taurus,73.950053 30.468056,II,Muzerolle 2005,"December 30, 2003",3014,,M5.6,0.25,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.44,,,-12,,0.075,,,,,,1,,1,,Herczeg+2008,upper limit,,,
2MASS J11011926-7732383,2MASS J11011926-7732383,,Chamaeleon I,165.330275 -77.543976,III,Muzerolle 2005,"December 30, 2003",2838,,M7.25,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.59,,,-12,,0.05,,,,,,2,,1.59,,"Luhman+2007 , converted from A_j",upper limit,disk classification from Luhman et al. 2008,,
2MASS J11070324-7610565,2MASS J11070324-7610565,,Chamaeleon I,166.763507 -76.182381,III,Muzerolle 2005,"December 30, 2003",2990,,M6,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.43,,,-12,,0.07,,,,,,2,,0.39,,"Luhman+2007 , converted from A_j",upper limit,disk classification from Luhman et al. 2008,,
2MASS J04363893+2258119,2MASS J04363893+2258119,CFHT 3,Taurus,69.1625 22.9700,III,Muzerolle 2005,"December 30, 2003",2752,,M7.75,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.41,,,-12,,0.035,,,,,,1,,0.81,0.85,Zhang+2018,upper limit,disk classification from LUHMAN ET AL. JAN 2010,,
2MASS J04394748+2601407,2MASS J04394748+2601407,"CFHT 4 (original), CFHT-BD-Tau 4",Taurus,69.9458 26.0281,II,Muzerolle 2005,"December 30, 2003",2880,,M7,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.94,,,-11.3,,0.06,,,,,,1,,6.37,0.85,Zhang+2018,,disk classification from LUHMAN ET AL. JAN 2010,corrected coordinates as they incorrectly matched CFHT 3,
[NC98] Cha HA 1,[NC98] Cha HA 1,Cha Ha 1,Chamaeleon I,166.8208 -77.5983,II,Muzerolle 2005,"December 30, 2003",2752,,M7.75,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,0.00,,0.5,,,-11.3,,0.035,,,,,,2,,0.2,,Natta+ 2004,,,corrected coordinates from SIMBAD (original: 166.5708 -77.5981   ),
