#VisAO z-prime
#Effective wavelength =      0.90969793 microns
#Effective width =       0.12102354 microns
#note: no atmosphere included
#     lambda     trans     RSR       RSR+atm
     0.809500   0.00212650   0.00203917   0.00203917
     0.810000   0.00233921   0.00224453   0.00224453
     0.810500   0.00258771   0.00248450   0.00248450
     0.811000   0.00285346   0.00274135   0.00274135
     0.811500   0.00315214   0.00303015   0.00303015
     0.812000   0.00348278   0.00335007   0.00335007
     0.812500   0.00386724   0.00372216   0.00372216
     0.813000   0.00429121   0.00413278   0.00413278
     0.813500   0.00475595   0.00458317   0.00458317
     0.814000   0.00528558   0.00509669   0.00509669
     0.814500   0.00587041   0.00566410   0.00566410
     0.815000   0.00653267   0.00630695   0.00630695
     0.815500   0.00729274   0.00704508   0.00704508
     0.816000   0.00814360   0.00787187   0.00787187
     0.816500   0.00908462   0.00878687   0.00878687
     0.817000    0.0101643   0.00983720   0.00983720
     0.817500    0.0114125    0.0110520    0.0110520
     0.818000    0.0127788    0.0123827    0.0123827
     0.818500    0.0143414    0.0139053    0.0139053
     0.819000    0.0161219    0.0156413    0.0156413
     0.819500    0.0181060    0.0175769    0.0175769
     0.820000    0.0203808    0.0197973    0.0197973
     0.820500    0.0229723    0.0223282    0.0223282
     0.821000    0.0258905    0.0251799    0.0251799
     0.821500    0.0291756    0.0283922    0.0283922
     0.822000    0.0330069    0.0321402    0.0321402
     0.822500    0.0373439    0.0363854    0.0363854
     0.823000    0.0422856    0.0412253    0.0412253
     0.823500    0.0478828    0.0467105    0.0467105
     0.824000    0.0545151    0.0532127    0.0532127
     0.824500    0.0618795    0.0604378    0.0604378
     0.825000    0.0702354    0.0686406    0.0686406
     0.825500    0.0798832    0.0781166    0.0781166
     0.826000    0.0907471    0.0887941    0.0887941
     0.826500     0.103109     0.100951     0.100951
     0.827000     0.117066     0.114686     0.114686
     0.827500     0.132641     0.130022     0.130022
     0.828000     0.150157     0.147281     0.147281
     0.828500     0.170582     0.167416     0.167416
     0.829000     0.193399     0.189924     0.189924
     0.829500     0.218227     0.214435     0.214435
     0.830000     0.246062     0.241932     0.241932
     0.830500     0.276676     0.272197     0.272197
     0.831000     0.310128     0.305290     0.305290
     0.831500     0.347069     0.341861     0.341861
     0.832000     0.386084     0.380519     0.380519
     0.832500     0.427274     0.421369     0.421369
     0.833000     0.470018     0.463800     0.463800
     0.833500     0.514064     0.507568     0.507568
     0.834000     0.558882     0.552151     0.552151
     0.834500     0.603113     0.596206     0.596206
     0.835000     0.647763     0.640728     0.640728
     0.835500     0.691250     0.684152     0.684152
     0.836000     0.731766     0.724686     0.724686
     0.836500     0.770288     0.763291     0.763291
     0.837000     0.805670     0.798829     0.798829
     0.837500     0.837617     0.831001     0.831001
     0.838000     0.866089     0.859761     0.859761
     0.838500     0.893345     0.887347     0.887347
     0.839000     0.917770     0.912152     0.912152
     0.839500     0.935972     0.930797     0.930797
     0.840000     0.951556     0.946858     0.946858
     0.840500     0.963916     0.959728     0.959728
     0.841000     0.973214     0.969563     0.969563
     0.841500     0.980698     0.977599     0.977599
     0.842000     0.986407     0.983874     0.983874
     0.842500     0.990778     0.988821     0.988821
