Sixth Catalog of Orbits of Visual Binary Stars: Orbits																					
RA(2000).	DEC(2000)	WDS.......	DD............	HD....	V1.11	*	V2.22	*	PPPPP.PPPPPP	*	eee.eeeeee	AAA.AAAAA	*	ee.eeeee	III.IIII	eee.eeee	NNN.NNNN	eee.eeee	TTTTT.TTTTTT	*	eee.eeeeee
1653.59	-523905.7	00169-5239	GJ 13	1273	6.85				411.4	d		20.98	m	0.56	74.7	2.1	352.3	3.3	34233.3	d	
1705.54	384054	00171+3841	CHR 123	1280	4.61				1033	d	84	25	m	22	69	15	263	103	48587	d	243
1705.54	384054	00171+3841	CHR 123	1280	4.61				1006	d	95	12	m	6	63	10	294	94	48621	d	327
1724.5	85234.8	00174+0853	A  1803AB	1317	8.38		7.78		35.66	y		0.189	a		95.4		124.1		1950.7	y	
1814.7	725648.4	00182+7257	A   803	1360	8.1		8.76		247.63	y	5.08	0.367	a	0.026	68.6	1.3	151.2	1.1	2053.72	y	3.7
1822.88	440122.6	00184+4401	GRB  34AB	1326	8.31	v	11.36	v	1253	y	259	26.73	a	3.54	46	11	243	25	2327	y	81
2018.38	-324608.9	00203-3246	B  1025	1620	8.83		10.64		126.11	y		0.609	a		109.1		167.2		1920.97	y	
2033	453032.2	00205+4531	A   647	1614	7.17		9.56		372.7	y		0.947	a		122		39.4		1876.01	y	
2038.21	121839.8	00206+1219	BU 1015	1634	8.39		9.67		137	y		0.333	a		35		291.2		1961.65	y	
2054.1	325840.9	00209+3259	AC    1	1641	7.27		8.26		525	y		1.234	a		84		107.5		1820.1	y	
2054.59	105836.8	00209+1059	BU 1093	1663	6.73		8.55		471	y		0.545	a		42.4		132.3		1844.26	y	
2057.23	674003	00210+6740	HJ 1018	1624	8.57		8.89		161	y		1	a		88		87		1941	y	
2122.17	670019.5	00214+6700	STT   6AB	1658	7.54		8.77		335.385	y		0.3935	a		128.3		149		1928.76	y	
2223.47	-270153.8	00224-2702	GJ 9011	1815	8.33				1150	d	40	40	m	2.2	47	4	93	93	49225	d	272
2415.64	520111.7	00243+5201	HU  506	1976	5.95		6.84		169.29	y		0.214	a		64.8		30.1		1955.06	y	
2444.24	-270826.5	00247-2653	LEI   1BC		18.69		19.07		17.24	y	0.01	0.4578	a	0.0011	61.82	0.06	14.65	0.05	54145	d	1.1
2444.25	-270827.9	00247-2653	LEI   1A BC		15.4		18.69		44.4	y	7.2	1.1116	a	0.001	54.75	0.5	26.8	0.08	59727.9	d	3.4
2444.31	-510235.7	00247-5103	CD-51   95	2070	6.82				115.3	d		4.68	m	0.25	108	7.5	299	8.3	35627.6	d	
2508.5	480250.9	00251+4803	HDS  56AB	2057	7.72		10.63		28.05	y	0.46	0.23	a	0.008	164	3.8	96.1	16.2	1999.29	y	0.55
2616.87	-421818.4	00262-4217	alp Phe	2261	2.37				3848.8	d		103.5	m	8.2	128	5.4	242.8	3.9	16201.8	d	
2707.77	-75233.6	00271-0753	A   431AB	2333	8.84		8.95		53.56	y		0.364	a		109		25.5		2003.58	y	
2723.42	305336.1	00274+3054	HDS  62	2343	8.55		10.46		936	d		4.1	m	1	48.9	11.6	293.2	9.9	42531.9	d	
2755.93	221932.8	00279+2220	FRV   1		10.15	k	10.46	k	7.76	y	0.04	0.1467	a	0.0006	117.23	0.13	35.95	0.11	54858.5	d	25
2817.07	634405.9	00283+6344	HU 1007AB		10.25		10.13		198.53	y		0.458	a		53.51		117.03		2060.86	y	
2821.17	-202005.2	00284-2020	B  1909	2475	7.23		7.4		11.35	y		0.202	a		69.8		119.49		1995.09	y	
2840.87	371814.9	00287+3718	A  1504AB	2471	8.84		8.92		977	y		0.843	a		70.2		51.9		2071	y	
3045.56	473147.5	00308+4732	BU  394AB	2675	8.49		8.77		142.14	y		0.689	a		78		102.1		1992.37	y	
3105.23	-100501.9	00310-1005	BU 1158BC	2761	9.69		9.09		134.66	y		0.38	a		61.4		154.5		2007.39	y	
3133.36	-625755.6	00315-6257	I   260CD	2885	4.6		6.54		44.73	y	0.34	0.495	a	0.001	124.7	0.3	241.6	0.2	2011.62	y	0.01
3146.32	543120.3	00318+5431	STT  12	2772	5.33		5.62		245.7	y	35.96	0.448	a	0.028	53.6	5.2	17.6	9.6	2025.54	y	4.65
3200.65	273944.1	00320+2740	COU 547	2854	8.9		9.1		265	y		0.322	a		79.9		31.7		1984.9	y	
3207.04	-121742.1	00321-1218	HDS  71	2893	8.97		9.46		57.943	y	1.966	0.2666	a	0.0038	132.3	7.9	126.6	9.7	2034.432	y	0.95
3208.28	-51043.3	00321-0511	A   111AB	2880	9.4		9.4		10.64	y	0.02	0.122	a	0.003	155.7	4.2	206.5	18.5	2015.19	y	0.19
3223.75	65719.6	00324+0657	MCA   1Aa Ab	2913	5.84		7.99		27.41	y		0.16	a		111.2		105.3		1988.97	y	
3229.43	671408.8	00321+6715	MCY   1Aa Ab		6.2	k	8.2	k	15.64	y	0.2	0.511	a	0.005	44.6	1.5	175.1	1	2000.76	y	0.2
3229.43	671408.8	00321+6715	VYS   2AB		10.62	v	12.2		222.3	y	8.5	3.322	a	0.05	47.3	0.4	174.9	2	1859.4	y	3.9
3229.43	671408.4	00321+6715	VYS   2B		12.2				15	y	0.5	0.348	a	0.01	47	5	175	5	2010	y	0.5
3329.7	-551942	00335-5520	I    45AB	3075	7.65		8.59		665.1	y		0.736	a		129.9		1.2		1773.66	y	
3329.97	400620.2	00335+4006	HO    3	2993	8.09		9.72		69.15	y		0.386	a		113		297.5		1984.29	y	
3429.75	-43247.5	00345-0433	D     2AB	3125	7.63		8.04		2981	y		2.74	a		77.5		266		2007	y	
3514.64	-33533.9	00352-0336	HO  212AB	3196	5.61		6.9		6.89	y		0.241	a		49.4		149		2000.98	y	
3534.17	-394445.2	00356-3945	CD-40  135	3277	7.44				46.1512	d	0.0002	2.5	m	0.5	166.5	2.6	270.2	11.2	54324.14	d	0.03
3539.48	342846.6	00357+3429	HU 1011	3212	8.43		9.78		473.78	y		0.387	a		134.6		155.7		2278.94	y	
3602.24	295938.4	00360+2959	STF  42AB	3266	8.39		9.05		1900	y	190	4.5	a	0.3	155	9	23	2	1384	y	32
3633.43	560832	00366+5609	A   914	3304	8.42		9.29		1240.2	y	79.4	0.88	a	0.084	109.4	2.1	24.7	2.9	2015.1	y	80.1
3652.84	334309.7	00369+3343	MKT   1Aa Ab	3369	4.36				143.53	d	0.06	6.69	m	0.05	103	0.2	94.7	0.2	47717.7	d	0.4
3720.68	-244602.1	00373-2446	BU  395	3443	6.6		6.2		25.02	y		0.675	a		78.6		291.98		1998.78	y	
3919.6	305140.4	00393+3052	del And	3627	3.3				52.8	y		0.62	a	0.04	137	5	290	7	1958.5	y	1.1
4006.26	501415.5	00401+5014	V523 Cas		10.87				86	y	5		m		83.8						
4135.98	243744.6	00416+2438	WRH  28	3883	6.06				21.26	y	0.94	0.126	a	0.006	33.4	3.6	145.7	6.7	1993.02	y	0.56
4223.21	41000	00424+0410	STT  18AB	3972	7.86		9.71		386.51	y		3.296	a		75.3		76.5		1828.13	y	
4241.37	-653630.6	00427-6537	I   440	4125	7.27		8.75		196	y		0.274	a		157		57		2142	y	
4247.92	124841.8	00428+1249	HDS  93		10.78		12.02		94.28	y		0.339	a		134.5		50.7		2006.69	y	
4253.2	204635.6	00429+2047	A  2205		10.26		10.09		160.08	y		0.27	a		131.6		127		1962.7	y	
4303.47	765925.5	00431+7659	HU 1012	3871	9.83		9.71		580	y		1.17	a		108.3		38.8		1875	y	
4322.78	472618.8	00434+4726	A   651		9.67		10.2		1530	y		1.96	a		121.3		179.3		1907	y	
4443.5	481703.8	00447+4817	NOI   3Aa Ab	4180	4.6		7.5		1035.55	d		0.017	a	0.0006	115	2.6	87.3	0.8	52792.2	d	0.6
4611.05	-221429.3	00462-2214	RST4155	4397	9.76		10.03		48	y		0.195	a		138.5		28.8		1957.2	y	
4616.11	-63358.4	00463-0634	HDS 101	4393	8.93		10.27		24.809	y		0.102	a		43.8		33.8		2010.38	y	
4640.52	-42535.1	00467-0426	LTT 440	4449	7.7				1282	d	356	21.2	m	3.6	86	6	129	90	48947	d	538
4656.67	433849.9	00469+4339	HDS 102		10.12		11.65		46.76	y	1.49	0.229	a	0.006	118.7	1.4	38.6	1.6	2015.92	y	0.99
4700.84	231502.2	00470+2315	HU  413	4463	9.23		9.26		351.37	y	9.704	0.6232	a	0.0481	52.5	2.8	44.9	3.2	2074.213	y	6.372
4808.88	724028	00481+7240	HR  212	4440	5.86				1748	d	582	17.2	m	8.2	81	6	80	6	49107	d	606
4844.81	184107.9	00487+1841	BU  495AB	4655	8.34		8.61		143.628	y	4	0.617	a	0.026	107.4	4.6	31.3	5.6	1979.856	y	0.27
4858.71	165628.1	00490+1656	64 Psc Aa Ab	4676	5.1		5.2		13.824621	d	0.000017	6.527	m	0.061	73.8	0.92	63.6	0.82	50905.984	m	0.015
4905.14	574859.4	00491+5749	STF  60AB	4614	3.52		7.36		479.27	y		12.04	a		35.6		278		1889.93	y	
4909.1	571937.6	00492+5720	A   921AB	236538	9		9.5		120.47	y		0.221	a		59.6		140.3		1982.4	y	
4932.74	440333.8	00495+4404	HDS 109	4712	8.02		10.32		46.64	y		0.253	a		133.5		131.1		2009.69	y	
4937.25	474550.4	00496+4746	BD+46  176	4701	6.67				1142	d	145	10	m	3	44	16	86	127	49210	d	353
4937.25	474550.4	00496+4746	BD+46  176	4701	6.67				1325	d	324	24	m	16	68	16	54	139	48876	d	516
5025.1	503749.6	00504+5038	BU  232AB	4777	8.46		8.79		201	y	9	0.531	a	0.033	31.9	2.6	64.9	5.7	1914.52	y	0.29
5043.57	641451.3	00507+6415	MCA   2	4775	5.7		6.8		5.7255	y	0.0046	0.0341	a	0.0013	140.3	9.1	125.1	9.7	1982.3463	y	0.0093
5050.92	320258.2	00508+3203	A   922Aa Ab		9.61		9.77		106.44	y		0.786	a		83.8		178.8		2058.04	y	
5136.99	223724.4	00516+2237	A  1808	4934	7.93		8.22		112.4	y		0.121	a		17.8		163.1		1975.99	y	
5152.18	-434232.3	00519-4343	I    47	5042	7.45		7.95		516.5	y	43.1	1.228	a	0.154	77	2.6	4.5	1.8	1850.7	y	42.6
5201.02	315359.3	00520+3154	A   924		9.8		9.9		182.57	y	16.74	0.296	a	0.001	154.2	6.2	44.8	18.1	1986.54	y	0.53
5207.59	103603.7	00521+1036	STF  67	4936	8.98		9.56		41.33	c	53.88	5.982	a	0.085	113.3	11.3	216	25	1741	y	54
5207.81	-131350	00521-1314	HU  201	5041	10.09		10.47		128.9	y		0.542	a		44.1		124.6		1932.97	y	
5319.51	40510.7	00533+0405	A  2307	5143	7.55		8.79		57.78	y	3.87	0.233	a	0.005	74.3	1.6	222.4	1.4	2012.51	y	1.25
5320.22	-453020.7	00533-4530	B   644	5218	9.05		9.05		375	y		0.62	a		72.7		51		2280	y	
5411.08	431754.1	00542+4318	COU1654	5178	8.4		8.4		93	y		0.15	a		109.7		91.5		1918	y	
5435.22	191118.4	00546+1911	STT  20AB	5267	6.12		7.19		343	y		0.704	a		129.9		120.9		1904	y	
5458.02	233742.4	00550+2338	STF  73AB	5286	6.12		6.54		61183	d	69	0.9837	a	0.0011	44.57	0.11	173.66	0.13	35543	m	21
5511.96	-472419.9	00552-4724	CD-48  216	5388	9.14				777	d	4	1.7	m	0.5	178.3	0.6	298	21.5	54570	m	9
5556.56	-470858.6	00559-4709	CD-47  277		11				920	d	60	19	m	3.2	121	9	132	98	48902	d	382
5642.52	604300.2	00567+6043	BU 1028A	5394	2.47				60	y		150	m								
5646.94	602146.3	00568+6022	BU 1099AB	5408	6.11		6.53		83.1	y	0.2	0.245	a	0.002	54.9	1.1	175.01	0.33	1952.31	y	0.09
5646.94	602146.3	00568+6022	BAG  10Aa Ab	5408	5.56		6.27		4.85	y		0.032	a		47.6		329.9		2003.5	y	
5712.43	232503.9	00572+2325	MKT   2Aa Ab	5516	4.42				115.72	d	0.01	10.37	m	0.03	30.5	0.4	69.4	0.5	48013	d	1
5735.79	542344.8	00576+5424	HLD   4	5502	9		9.5		788.16	y		0.948	a		13.3		90.1		1990.92	y	
5818.89	212416.2	00583+2124	BU  302	5641	6.6		8.77		331.97	y	3.33	0.651	a	0.046	48.1	1.2	17.2	2.2	2017.54	y	2.99
5920.47	-4028.3	00593-0040	A  1902	5781	8.11		9.17		94.57	y		0.313	a		50.9		115.3		1963.72	y	
5923.33	4644.5	00594+0047	STF  80A	5780	7.65				84.84	y		0.276	a		71.52		8.63		1873.71	y	
5923.33	4644.5	00594+0047	STF  80A	5780	7.65				80.92	y		0.278	a		70.13		4.39		1872.39	y	
5935.07	-11130.5	00596-0111	A  1903AB	5805	9.28		9.94		143.4	y		0.354	a		20.4		145		1957	y	
10035.58	471914.6	01006+4719	MAD   1	5842	7.66		9.05		925	y	83	0.93	a	0.051	136.4	1.8	5.2	3.2	2127.14	y	3.32
