Sixth Catalog of Orbits of Visual Binary Stars: Orbits																					
RA(2000).	DEC(2000)	WDS.......	DD............	HD....	V1.11	*	V2.22	*	PPPPP.PPPPPP	*	eee.eeeeee	AAA.AAAAA	*	ee.eeeee	III.IIII	eee.eeee	NNN.NNNN	eee.eeee	TTTTT.TTTTTT	*	eee.eeeeee
51317.48	25140.5	05133+0252	STF 654A	33856	4.48				1031.4	d		7	m	0.3	122.8	1.7	242.6	1.5	26182.46	d	
51331.55	15803.7	05135+0158	STT 517AB	33883	6.79		6.99		987	y		0.77	a		18		138		1925.3	y	
51401.68	512551.8	05140+5126	HU  821	33580	7.43		9.94		131	y		0.627	a		28.5		26.2		1968.7	y	
51419.94	-154933.9	05143-1550	GJ 193	34101	7.45				803.51	d		10.5	m	1	52.7	6	229.9	2.9	50690	d	
51445.03	123131.3	05148+1232	HU 1224	34021	8.47		9.3		16.56	c	85.41	2.3	a	5.8	105	9.9	100	75	2111	y	157
51515.45	471014.6	05153+4710	A  1031	33798	7.16		9.13		513.48	y		0.857	a		69.8		158.9		1875.32	y	
51542.92	-492641.3	05157-4927	GC 6457	34540	7.9				685.1827	d	8.528	19.71	m	1.08	50.33	4.08	154.95	5.83	47918.4062	d	26.5362
51610.56	-112109.2	05162-1121	CHR 225	34318	6.5		7.1		3909.7	d	6	0.0349	a	0.0022	39	10	31	20	46423.9	m	5.9
51624.69	-13831.3	05164-0139	A   844	34307	8.33		9.12		168.8	y	12.6	0.234	a	0.006	50.1	3.4	191.7	3.1	1997.4	y	6.6
51630.54	-210600.3	05165-2106	DON  97	34432	8.07		9.81		258	y		0.457	a		133.8		165.4		1952.8	y	
51641.3	455956.5	05167+4600	ANJ   1Aa Ab	34029	0.08		0.18		104.02128	d	0.00016	56.442	m	0.023	137.156	0.046	40.522	0.039	48147.6	d	2.6
51723.87	455023	05167+4600	ST    3HL		9.99		13.5		388	y		3.72	a		65		168.5		2010	y	
51740.98	72112	05177+0721	BD+07  855	34445	7.33				2.87	y	0.03	44.55	m	0.43					13781	d	48
51810.56	332217.8	05182+3322	STT 103A	34334	4.8		10.6		434.8	d		7.24	m	1.59	52.93	9.46	56.2	11.65	48348.1172	d	17.1872
51901.07	-215903	05190-2159	RST2375	34779	8.77		9.58		278.9	y		0.463	a		60		150.5		2003.66	y	
52218.62	-83958	05223-0840	V1261 Ori	35155	6.87				640.6	d		1.84	m	0.9	100.2	26.2	300.6	29.8	48092.41	d	
52237.5	23611.4	05226+0236	A  2641	35112	7.93		10.77		93	y		1.1	a		114		164		1950	y	
52321.04	-364013.9	05234-3640	I   275	35490	8.92		9.59		729.09	y		1.705	a		130.1		40		2002.31	y	
52351.32	-5159.8	05239-0052	WNC   2A BC	35317	6.87		6.96		923	y		2.89	a		102.5		143.4		2586	y	
52351.33	-5159.8	05239-0052	A   847BC	35317	7.67		7.84		48.31	y		0.333	a		86.9		141.9		1960.86	y	
52428.62	-22349.7	05245-0224	MCA  18Aa Ab	35411	3.8		5.3		9.399	y	0.04	0.0462	a	0.0195	103.5	15.3	129	6.4	2011.613	y	0
52444.29	632311.1	05247+6323	STF 677AB	34839	7.86		8.5		361.89	y	26.93	1.464	a	0.03	130.6	2.3	95.1	1.1	2039.47	y	10.93
52446.29	-521858.2	05248-5219	I   345AB	35860	6.76		7.4		123.2	y		0.287	a		124.8		30.5		1995.5	y	
52531.08	-3238.2	05255-0033	A   848	35548	6.93		7.88		534.41	y	12.49	0.4	a	0.055	66.3	0.8	19.8	0.8	2425.78	y	2.11
52659.84	-683721.6	05270-6837	I   276	36584	6.66		6.95		795.5	y		1.704	a		129.5		74.8		1869.63	y	
52701.32	273636.9	05270+2737	HO  226AB	35586	8.71		8.61		374	y		0.617	a		57.6		84.4		2097	y	
52710.09	175744	05272+1758	MCA  19Aa Ab	35671	5.8		6.8		15.84	y		0.077	a		109.2		251.5		1982.8	y	
52710.09	175744	05272+1758	MCA  19Aa Ab	35671	5.8		6.8		30.54	y		0.111	a		101.4		86.21		1982.2	y	
52736.39	-205457.1	05276-2055	SEE  53	35973	8.7		8.9		81.94	y		0.188	a		11.8		288		1992.59	y	
52844.52	-652645.9	05287-6527	CLO  10Ba Bb		7.97	k	8.23	k	0.986	y	0.008	0.052	a	0.002	121	5	270	15	2003.68	y	0.05
52844.82	-652654.8	05287-6527	CLO  10Aa Ab	36705	4.7	k	9.5	k	12.895	y		0.304	a		63		159.2		1991.822	y	
52856.91	-31826.7	05289-0318	DA    6	36058	6.99		7.34		1491.21	y	672.53	1.021	a	0.287	48.3	2.3	247.1	4.3	1995.7	y	1.14
52941.59	-4808.7	05297-0048	A   850A	36150	6.49				6.051	y	3.565	32	m	10	61	6	279	92	1993.565	y	3.269
52941.59	-4808.7	05297-0048	A   850A	36150	6.49				7.412	y	5.314	31	m	14	62	8	113	90	1994.923	y	4.972
53047.06	55653.3	05308+0557	STF 728	36267	4.44		5.75		613.69	y		1.604	a		96.6		217.1		2297.03	y	
53152.66	-762030	05319-7620	gam Men	37763	5.17				7.455	y	4.857	51	m	10	53	8	117	90	1995.111	y	4.085
53152.66	-762030	05319-7620	gam Men	37763	5.17				8.512	y	4.945	60	m	17	52	8	123	16	1995.522	y	4.356
53200.4	-1756.7	05320-0018	HEI  42Aa Ab	36486	2.41		3.76		346	y		0.423	a		107		148.4		1964.8	y	
53214.34	704854.7	05322+7049	A  1034	35598	9.05		9.76		476.4	y	18.68	1.028	a	0.103	103.4	2.9	126.3	1.4	2311.52	y	5.3
53259.52	-641339.1	05330-6414	28 Dor	37297	5.35				180.875	d		1.9	m	0.3	46.3	9.7	211	5.2	23108.418	d	
53259.81	-241518.5	05330-2415	DAW  85	36745	9.66		10.64		65.52	y		0.286	a		168.1		125.2		1999.56	y	
53319.07	444902.2	05333+4449	GJ 1081		12.2				7.2	y		0.04	a		100.7		23.1		1968.9	y	
53319.07	444902.2	05333+4449	GJ 1081		12.2				11.4	y		0.041	a		99		45		1979.4	y	
53336.21	-510356.2	05336-5104	HU 1566	37144	9.47		9.94		281.29	y		1.267	a		142		44.8		1896	y	
53514.04	-465643.3	05352-4657	RST 141	37314	9.09		10.39		134	y		0.357	a		47.5		64		1966.5	y	
53516.46	-52323.1	05353-0523	WGT   1Ca Cb	37022	5.3		6.7		11.26	y	0.5	43.61	m	3	99	2.6	26.5	1.7	2002.57	y	0.5
53526.75	-331609.2	05354-3316	HU 1393	37224	6.99		8.68		142.1	y		0.624	a		119.4		238.5		2017.5	y	
53626.12	215935.4	05364+2200	STF 742	37013	7.09		7.47		2959	y		5.571	a		56.1		110.6		2115.5	y	
53708.84	265528.3	05371+2655	STF 749AB	37098	6.54		6.55		986.6	y		1.015	a		153.3		164		1756.846	y	
53716.05	664148.2	05373+6642	MLR 314	36496	6.68		7.66		46.76	y		0.251	a		65.4		160.7		1985.61	y	
53825.61	430050.5	05384+4301	A  1563	37137	9.3		9.3		120	y		0.166	a		110.6		97		2000	y	
53838.1	302932.8	05386+3030	BU 1240AB	37269	6.29		6.21		52.735	y	0.156	0.154	a	0.001	124.22	0.29	127.08	0.38	1974.927	y	0.026
53844.77	-23600.2	05387-0236	BU 1032AB	37468	4.07		5.27		156.7	y	3	0.2662	a	0.0021	159.7	3.7	121.7	9.6	1999.5	y	10.2
53853.09	-71245.8	05389-0713	49 Ori	37507	4.8				445.74	d		1.84	m	1.66	87.43	16.2	326.92	19.81	48182.0469	d	19.8487
53922.55	434233.5	05394+4343	A  1564	37265	8.98		9.15		181.7	y		0.232	a		71		160.8		1845.8	y	
54045.52	-15633.3	05407-0157	NOI   1Aa Ab	37742	2		4		2687.3	d	7	35.9	m	0.2	139.3	0.6	83.8	0.8	52734.2	d	9
54045.52	-15633.3	05407-0157	STF 774AB	37742	1.88		3.7		1508.6	y		2.728	a		72		155.5		2070.6	y	
54117.72	163203.1	05413+1632	BU 1007	37711	5.04		6.56		111.02	y	1.37	0.245	a	0.014	80.5	1.1	53.2	0.8	1938.13	y	1.64
54140.34	-25347.3	05417-0254	BU 1052	37904	6.68		8.22		191.9	y		0.689	a		99.3		186.4		2005.6	y	
54149.29	-500015.3	05418-5000	HU 1568	38255	9.34		9.42		307.49	y		1.025	a		109.5		171.3		2021.62	y	
54253.91	-64746.7	05429-0648	A   494AB	38089	6.51		7.24		20.13	y	0.02	0.208	a	0.001	71.7	0.3	96.8	0.4	1959.03	y	0.06
54600.8	211904.5	05460+2119	STF 787AB	38363	8.27		8.81		920	y		0.9	a		136.1		65.7		2091	y	
54629.48	743638.1	05465+7437	YSC 148AB	37393	7.5		10.3		4072	d	91	0.1646	a	0.003	137	28	220.3	9.3	49649	m	60
54629.48	743638.1	05465+7437	YSC 148AB	37393	7.5		10.3		4072	d	91	0.1646	a	0.003	43	28	357.5	9.3	49649	m	60
54710.18	215231.6	05472+2153	HU   39	38493	9.1		9.2		47.5	y		0.29	a		95.8		43.3		1978.6	y	
54724.87	293926.9	05474+2939	BU  560	38491	7.77		8.24		811.2	y		1.52	a		129.7		139.5		1860.665	y	
54726.9	-103158.5	05474-1032	MCA  22	38735	6.34		7.79		31.3	y	3.4	94.4	m	6.4	46.9	13	305.2	11.3	53025	d	948
54800.21	62714.5	05480+0627	STF 795	38710	5.99		6.03		1140	y		1.237	a		61		19.6		2187.6	y	
54814.65	13635.1	05482+0137	A  2657	38769	7.93		7.91		60.43	y		0.137	a		18.9		20.1		1964.86	y	
54822.36	205210.3	05484+2052	STT 118AB	38670	6.32		7.57		227.52	y	15.48	0.792	a	0.037	89.7	0.8	137.9	2	1986.06	y	0.09
54904.64	624829.6	05491+6248	STF3115	38284	6.55		7.51		976.83	y	11.61	1.35	a	0.012	131.8	0.5	48.8	0.4	2131.6	y	9.62
54904.64	624829.6	05491+6248	STF3115	38284	6.55		7.51		1503.7	y		2.858	a		104.4		41.2		1748.3	y	
55229.48	-21707.1	05525-0217	HDS 787	39438	7.77		8.65		11.768	y	0.058	0.12	a	0.002	53.4	1.9	153.5	1.7	2000.01	y	0.07
55314.72	-615022	05532-6150	SLR  15	40201	7.17		8.23		1251.74	y	78.9	1.303	a	0.061	122.1	2.2	138.4	1.7	1970.32	y	0.75
55328.64	372020.7	05535+3720	BU 1053	39315	6.91		8.83		511	y		1.387	a		34.9		138.1		1899	y	
55414.04	-290849.6	05542-2909	FIN 382	39891	6.61		8.45		20.16	y	0.03	0.154	a	0.003	129.5	2.4	169.2	4	2014.8	y	0.08
55423.08	201635.1	05544+2017	chi 1 Ori	39587	4.41				5156.291	d	2.508	89.662	m	0.88	95.937	0.79	126.36	0.593	51468.2	d	3.083
55550.25	365612.1	05558+3656	STT 122	39697	7.8		8.49		217.74	y		0.376	a		64.9		62.1		1966.95	y	
55802.61	-521216.3	05580-5212	HU 1570	40767	9.47		9.66		221.5	y		0.672	a		22.9		155		1955.83	y	
55853.23	124829.8	05589+1248	STT 124	40369	6.11		7.37		140	y		0.3	a		80		120.5		1912	y	
55856.52	-342133.4	05589-3422	GC 7577	40705	8.18				1005.4914	d	73.6068	8.37	m	1.16	136.38	11.04	11.67	16.83	48139.4375	d	41.4312
55931.77	445650.8	05595+4457	KOE   1Aa Ab	40183	1.9				3.96	d	0.0001	3.3	m	0.1	76	0.4	115.4	0.5	47438.65	d	0.01
60019.8	-310152.2	06003-3102	HU 1399AB	40887	8.9		9.9		67.45	y	0.14	0.946	a	0.01	101.2	0.4	126.7	0.5	1997.85	y	0.17
60019.8	-310152.2	06003-3102	HJ 3823AC	40887	8.9		8.88		390.6	y		3.95	a		110.2		142.8		1716	y	
60019.8	-310152.2	06003-3102	TOK   9CE	40887	8.88		11.5		22.95	y	3.21	0.441	a	0.031	97.8	1	146.6	0.9	2016.5	y	0.7
60222.99	93850.5	06024+0939	A  2715A	40932	4.3		6.27		4.447585	d	0.000001	1.661	m	0.016	47.1	9	50.5	3.7	43739.69	m	0.26
60222.99	93850.5	06024+0939	A  2715AB	40932	4.3		6.27		18.641	y	0.008	0.2741	a	0.0001	96.59	0.02	24.76	0.02	2003.742	y	0.004
60222.99	93850.5	06024+0939	A  2715B	40932	4.3		6.27		4.783535	d	0.000003	1.688	m	0.013	110.71	0.73	111.3	3.9	43746.4	m	0.63
60309.58	581324.8	06032+5813	A  1315	237449	10.18		10.12		700.182	y		2.277	a		83.19		82.19		1984.396	y	
60327.36	194126.2	06035+1941	MCA  24	41040	5.14		6.1		13.22	y	0.36	0.0526	a	0.0056	109.8	3.8	230.7	2.4	1980.69	y	0.36
60407.22	231549.1	06041+2316	KUI  23AB	41116	4.77		5.5		13.35	y		0.198	a		58.2		174.9		1982.28	y	
60408.29	110057	06041+1101	J   335	41223	8.45		9.49		241.34	y		0.811	a		116.3		81.5		2095.9	y	
60446.76	-482730.3	06048-4828	DUN  23	41824	7.3		7.69		915	y		4.578	a		63.6		121.4		2005	y	
60458.35	40931.2	06050+0410	66 Ori	41380	5.64				1091.8	d		2.9	m	0.7	105.6	13.1	20.6	12.6	51788	d	
60515.99	735958.9	06053+7400	STT 121	40225	7.96		8.81		180.18	y		0.423	a		117.9		148.6		1952.42	y	
60720.02	264055.8	06073+2641	MCA  25	41600	7				21.12	y		0.1	a		60.5		124.7		1991.58	y	
60720.02	264055.8	06073+2641	MCA  25	41600	7				43.45	y		0.109	a		62		3.5		2001.51	y	
60947.91	-224628.2	06098-2246	RST3442	42443	6.56		6.57		18.213	y	0.034	0.2065	a	0.0008	45.9	0.54	266.62	0.43	1979.628	y	0.037
61029.94	225952.4	06105+2300	BU 1058	42216	7.45		7.8		605.2	y		0.718	a		106		218.2		2007.32	y	
61214.17	-364522.8	06122-3645	RST4800	43011	9.9		10.26		174	y		0.275	a		131.3		191		2002.9	y	
61428.59	175422.8	06145+1754	KUI  24	42954	6.29		7.16		260	y		0.507	a		87.3		140.1		1975.8	y	
61452.69	223024.6	06149+2230	BU 1008	42995	3.52	v	6.15		473.7	y		1.08	a		142.7		84.5		1819.7	y	
61526.16	-90208.7	06154-0902	A   668	43362	6.34		7.73		107.2	y	2.4	0.2013	a	0.0035	40.9	1.8	212.1	2.6	1983.39	y	0.13
61553.98	11008.4	06159+0110	RST5225	43358	6.96		7.55		29.7	y	0.13	0.166	a	0.001	15.6	3	6.9	12.4	1965.51	y	0.2
61631.27	-403156.4	06165-4032	CD-40 2356	43848	8.65				2354.3	d	8.9	8.9	m	1.2	165	2.6	279.3	13	55585.8	d	13.3
61631.27	-403156.4	06165-4032	CD-40 2356	43848	8.65				2349.5	d	8.7	10.5	m	1.3	155.7	10.7	237.9	11.7	55634.6	d	10.8
61706.62	95632.6	06171+0957	FIN 331Aa Ab	43525	6.1		6.1		9.205	y	0.027	0.093	a	0.0008	57.59	0.68	125.3	0.84	1993.496	y	0.061
61716.13	50600.3	06173+0506	CAT   1Aa Ab	43587	5.77		11.1		32.07	y		0.598	a		35.6		163.1		1998.05	y	
61837.52	674342.5	06186+6744	HU 1119	42891	8.99		9.76		120.5	y		0.49	a		85		50		1976.5	y	
61840.35	90250.2	06187+0903	GC 8096	43821	6.24				1325	d		12.18	m	2.24	110.94	6.45	264.75	6.12	44856.5	d	
61937.39	590039.3	06196+5901	UZ Lyn	43378	4.45	v			819.8957	d	36.7104	8.53	m	2.32	59.8	14.2	52.52	31.82	48160.7305	d	51.2284
61958.96	282536.6	06200+2826	BU  895AB	43885	8.16		8.35		103.69	y		0.282	a		70.1		140.6		2009.3	y	
62125.78	21606.9	06214+0216	A  2667	44333	6.63		8.02		100.23	y	1.11	0.393	a	0.004	58.5	0.7	111.8	1.1	1931.4	y	0.91
62131.19	-290902.6	06215-2909	CD-29 3031	44642	7.73				796	d	48	8.4	m	2.6	51	12	153	106	48615	d	164
62203.57	592219.5	06221+5922	STF 881AB	43812	6.13		7.71		503	y		0.683	a		43.7		61.2		1650	y	
62206.85	-332610.6	06221-3326	del Col	44762	3.85				868.8	d		9.02	m	0.52	116.3	4.2	294.6	5	19915	d	
62253.76	-333652.5	06229-3337	CD-33 2935	44896	7.25				628.889	d		1.8	m	0.6	22.6	39.1	16.2	11.9	48464.3	d	
62255.87	-562211.7	06229-5622	nu Pic	45229	5.61				452	d	15	5.9	m	1.3	116	12	53	92	48660	d	158
62443.75	250255.4	06247+2503	GC 8261	44780	6.36				577.5	d		2.92	m	1.13	120.73	20.97	246.08	13.03	43626	d	
62518.49	13005.5	06253+0130	FIN 343	45050	7.9		7.08		69.7	y	5.1	0.131	a	0.004	156.5	8.4	234	28	2020	y	1.8
62532.59	232631.8	06255+2327	BAG   5	44926	7.31		7.86		9.282	c	85.754	0.5	a	3	80.7	4.9	342.18	0.7	2005.376	y	6.99
62532.94	231938	06255+2320	MCA  26	44927	6.06		6.7		117.74	y		0.153	a		81.6		145.8		1984.28	y	
62534.2	222728.1	06256+2227	STT 139	44941	7.33		9.38		360.3	y		0.674	a		56.6		183.8		1929.06	y	
62610.24	184524.8	06262+1845	BU 1191	45088	6.7	v	11.5	v	600	y		3.23	a		76		139.79		1896	y	
62724.1	-254404.4	06274-2544	B   114	45609	9.05		9.36		59.66	y	0.5	0.4222	a	0.0047	19.8	3.4	164	21	1977.24	y	0.79
62857.79	201243.8	06290+2013	BTZ   1Aa Ab	45542	4.1		5.1		18.75	y	0.34	0.081	a	0.008	72.9	1.4	120.9	1.1	1992.57	y	0.18
62923.4	-24850.3	06293-0248	B  2601AB		11	v	14.8	v	16.53	y	0.01	1.072	a	0.002	53.3	0.2	209.6	0.3	1999.33	y	0.01
62948.08	-501412.7	06298-5014	HDO 195CD		7.98		8.73		99.22	y		0.541	a		32.8		119.8		2004.94	y	
62949.03	-501420.7	06298-5014	R    65AB	46273	5.97		6.15		53.13	y		0.63	a		121.5		140		1969.44	y	
63001.41	-184014.3	06300-1840	DE0630-18		11.46	k			1120.05	d	2.24	23.43	m	0.06	92.73	0.15	291.68	0.12	56657.87195	m	
63125.83	74920.5	06314+0749	A  2817	46055	9.56		8.89		31.55	y	1.41	0.192	a	0.007	37.3	1.9	57.3	4.4	2015.34	y	0.28
63155.31	-93811.8	06319-0938	A   670	46244	8.6		9.1		150.438	y		0.36	a		63.9		177.5		1989.53	y	
63209.93	-651857.2	06322-6519	SAO 249579	47121	7.58				716.4899	d	25.1025	7.2	m	0.76	80.23	6.43	59.49	5.93	48058.293	d	17.6541
63218.38	522450.2	06323+5225	WOR   6		10.4		10.5		53.57	y	1.41	0.913	a	0.02	111.4	1.4	110.7	1.4	1980.55	y	0.13
63246.88	-110959	06328-1110	CHR 129	46407	6.3				457.4	d		4.72	m	1	79.5	9.5	295.2	9.9	47677.45	d	
63331.71	-120709.3	06336-1207	HU   43	46543	8.63		9.38		147.5	y		0.614	a		72		139.7		1978.5	y	
63421.57	144508.3	06344+1445	STF 932	46495	8.31		8.54		2360	y		3.21	a		124.14		4.24		2215	y	
63432.01	-111346.9	06345-1114	HO  234	46716	7.73		9.05		542.84	y	113.59	0.942	a	0.063	61.7	4.1	221.2	1.1	2456.65	y	121.09
63432.79	552110.9	06345+5521	BQ Lyn	46101	6.46				125.594	d		1.4	m	0.5	147.5	29.8	14.7	15.9	51933.9	d	
63554.07	-360518.4	06359-3605	FIN  19Aa Ab	47230	6.73		8.15		28.77	y		0.309	a		101.8		157.7		1993.25	y	
63612.61	-360817.7	06359-3605	RST4816Ba Bb	47283	7.77		8.61		14.03	y	0.02	0.182	a	0.001	111.9	0.2	288.8	0.3	2004.09	y	0.03
63626.26	271642.2	06364+2717	STT 149	46780	7.14		8.97		118.9	y		0.85	a		112.1		73.8		1923.2	y	
63742.7	162357.3	06377+1624	OCC9011Aa Ab	47105	1.9		7.5		12.634	y		0.2732	a		106.7		243.6		1979.34	y	
63755.24	734144.3	06379+7342	HR 2365	45947	6.25				7.943	y	6.587	41	m	25	132	10	99	18	1995.599	y	6.169
63755.24	734144.3	06379+7342	HR 2365	45947	6.25				7.327	y	6.319	36	m	24	139	10	102	38	1995.035	y	5.958
63800.39	-613200.2	06380-6132	I     5AB	48189	6.32		8.77		217.6	y		2.004	a		93.9		91.6		2033.9	y	
63823.02	285903.8	06384+2859	MCA  27	47152	6.97		6.2		38.9	y		0.159	a		119.5		113.5		1976.73	y	
63920.27	420016.6	06393+4200	STT 150	47193	8.13		8.78		231.9	y		0.301	a		100.8		17.5		1982.2	y	
64021.28	405810.9	06404+4058	STF 945	47412	7.21		8.33		2679.33	y	38.68	2.307	a	0.056	72.1	0.4	67.4	0.3	4486.86	y	2.17
64058.66	95344.7	06410+0954	CHR 168Aa Ab	47839	4.66		5.9		74.28	y	4.06	0.0956	a	0.0149	51.2	3.1	52.6	5.2	1996.06	y	4.16
64137.75	355554.9	06416+3556	HR 2452	47703	6.49				936.9	d	1.1	34.6	m	0.9	99.8	3.8	104.8	2.9	52542	d	5
64147.48	304102.7	06418+3041	A   218	47812	9.29		9.32		175	y		0.23	a		132		36.2		1976	y	
64147.48	304102.7	06418+3041	A   218	47812	9.29		9.32		85	y		0.298	a		106		24.2		1934	y	
64224.32	173843.9	06424+1739	26 Gem	48097	5.21				482.5119	d	35.8963	8.83	m	1.85	65.85	8.34	98.81	8.16	48240.1836	d	23.6352
64229.3	661152.1	06425+6612	MLR 318	47215	7.28		9.34		417.209	y	52.787	1.2955	a	0.02819	96.11	5.936	122.34	5.96	2278.12	y	83.805
64237.43	395513.1	06426+3955	HDS 930		9.55		11.46		13.16	y	0.24	0.077	a	0.002	150	3.2	123.9	6.3	1999.12	y	0.31
64352.03	-543403.5	06439-5434	HDS 934	49134	9.25		9.47		12.37	y	0.02	0.132	a	0.001	18.5	1.9	93.4	4.6	2014.21	y	0.04
64442.89	-572625.6	06447-5726	CP-57 1047	49377	8.56				889	d	55	9.2	m	1.4	43	12	166	110	48817	d	264
64459.14	104509.6	06450+1045	A  2825	48688	8.8		9.02		506.4	y		0.39	a		103.7		172.2		2011.1	y	
64508.92	-164258	06451-1643	AGC   1AB	48915	-1.46		8.5		50.13	y		7.48	a		136.86		46.5		1894.3	y	
64522.93	-314737.1	06454-3148	EHR   9Ba Bb		9.8	k	10	k	6.865	y	0.137	0.126	a	0.01	138.9	8.3	189.7	13.6	2014.728	y	0.318
64527.02	292159.8	06455+2922	A   122	48591	8.89		9.39		100	y		0.328	a		115.6		37.1		1976.8	y	
64549.97	22957.4	06458+0230	V505 Mon	48914	7.22				53.774	d		1.4	m	0.6	153	27.7	65.7	12.2	45253.71	d	
64614.15	592630.1	06462+5927	STF 948AB	48250	5.44		6		907.6	y		2.3	a		134.7		166.5		2677.4	y	
64723.46	181136.4	06474+1812	STT 156	49059	6.61		8.04		205.3	y		0.445	a		150.5		10.1		2017.76	y	
64747.56	2024.5	06478+0020	STT 157	49294	7.18		9.16		307.83	y	22.25	0.593	a	0.026	132.2	1.3	154.4	4.6	1984.66	y	7.84
64751.66	22443.9	06479+0225	18 Mon	49293	4.48				1760.9	d		6.63	m	2.44	96.25	14.19	47.63	23.96	41942.5	d	
64804.16	-94739	06481-0948	A  1056	49437	9.3		9.4		616.86	y	513.3	0.501	a	0.255	56.7	7	256	13.7	1962.17	y	10.3
64811.54	-615631.1	06482-6156	alp Pic	50241	3.3				1618	d	866	36	m	8	118	3	24	5	49302	d	674
64811.54	-615631.1	06482-6156	alp Pic	50241	3.3				1528	d	638	35	m	6	121	3	20	4	49264	d	614
64812.23	554216	06482+5542	STF 958AB	48767	6.28		6.34		2200	y		4.9	a		97		263		1246	y	
64812.23	554216	06482+5542	STF 958AB	48767	6.28		6.34		2200	y		4.9	a		104		246		2307	y	
64830.86	-122624.7	06485-1226	A  2935	49572	9.6		9.6		111.5	y		0.272	a		119.5		151		2002.34	y	
64839.41	73723.7	06487+0737	A  2731AB	49409	8.24		9.53		349.21	y	180	1.06	a	0.059	41.3	27.9	106.3	20.3	1935.683	y	4.82
64857.74	-150841	06490-1509	AC    4	49662	5.57		7.23		581.32	y		0.957	a		52.6		157.5		2031.7	y	
64916.41	-21619.3	06493-0216	FIN 322	49643	6.18		6.9		58.69	y	1.61	0.148	a	0.006	112.2	1.2	241.6	0.9	1969.56	y	0.78
64951.32	-533721	06499-5337	V415 Car	50337	4.42				195.28	d		2.17	m	0.79	101.32	12.98	141.16	13.46	47849.75	d	
64956.14	-503651.8	06499-5037	tau Pup	50310	2.93				1066	d		7.15	m	0.25	80.2	6.1	2.9	6.2	20992.8	d	
65014.13	362407	06502+3624	COU1738	49472	8.99		8.51		48.25	y		0.108	a		50		12.7		2008.01	y	
65016.01	240925.5	06503+2409	COU 768	49622	8.88		9.67		25.95	y	0.5	0.118	a	0.005	144.2	3.5	48.8	1	2008.38	y	0.5
65112.47	-293433.3	06512-2935	CD-29 3557	50264	9.05				912.4	d		11.99	m	1.2	109	6.5	69.2	8.9	46791	d	
65143.54	250253.5	06517+2503	A   512	265025	9.57		10.08		187	y		0.21	a		42.6		150.6		1978.1	y	
65245.07	245806.2	06528+2458	A   513AB	50106	9.9		10		347	y		0.674	a		126		78.6		1970	y	
65305.06	592655.2	06531+5927	STF 963AB	49618	6		6.53		316.2	y		0.614	a		64.7		51		1961.99	y	
65313.39	382616.9	06532+3826	COU1877	50037	6.47		8.96		271.1	y	61	0.793	a	0.073	58.4	5.4	156.4	7	2002.72	y	6.07
65404.25	605218.4	06541+6052	HEI 334		11.4		11.6		12	y		0.4	a		109		101		1996	y	
65432.96	-273333.9	06545-2734	B   706	51040	8.94		9.31		262	y		0.675	a		66.9		90		1945.8	y	
65438.63	131040.1	06546+1311	STF 982AB	50635	4.75		7.8		1898.12	y		7.666	a		130.9		126.9		2086.47	y	
65456.96	115756.7	06549+1158	A  2833	50722	8.29		9.21		209.09	y		0.429	a		43.1		107.2		1987.13	y	
65528.54	300942.3	06555+3010	STF 981	50662	8.72		8.97		5343	y		9.175	a		103.5		147.7		2016	y	
65716.6	582523	06573+5825	STT 159AB	50522	4.45		5.5		262	y		1.19	a		78		43.4		1992.68	y	
65717.61	-353025.9	06573-3530	I    65	51825	6.9		7.31		16.77	y	0.2	0.207	a	0.001	33.8	0.5	122.9	0.5	2009.2	y	0.05
65720.36	-492907.2	06573-4929	RST5253AB	52118	10.25		10.35		48.83	y		0.205	a		67.2		149.7		2013.1	y	
65729.02	25316.8	06575+0253	A  2681	51449	9.46		7.71		208.33	y		0.273	a		119.4		118.2		1938.47	y	
65747.45	-441726.6	06579-4417	LPM 248		11.65		11.66		298.34	y		4.396	a		107.9		39.9		1978.3	y	
65921.15	251400.2	06594+2514	A  1061AB	51690	8.9		9.1		235	y		0.3	a		57.6		166		2005	y	
65947.73	314053.7	06598+3141	COU1241	267337	9.8		9.8		26.3	y		0.181	a		120.2		89.7		1993.1	y	
70019.36	-220708.7	07003-2207	FIN 334Aa Ab	52437	7.2		7.2		475	y	50	0.275	a	0.02	107.3	2	153.2	2	2013.7	y	2
70109.85	114628.7	07012+1146	STT 163AB	52309	7.18		8.18		629.32	y		0.586	a		76.4		142		1980.75	y	
70116.54	-90608.1	07013-0906	A   671		9.8		9.9		352.94	y	3.56	0.536	a	0.077	107.2	4.3	163.5	2.3	2207.99	y	1.17
70130.47	-94204.3	07015-0942	A  3042AB	52590	7.99		9.73		99.3	y	2.3	0.29	a	0.007	54	2.5	223.7	2.4	2007.57	y	0.27
70237.42	155826.5	07026+1558	A  2462AB	52634	9.24		9		44.45	y	0.44	0.204	a	0.001	134.4	0.5	67.3	0.7	2012.79	y	0.02
70304.85	380832.1	07031+3809	NLTT 17323		9.45				85.182	d		3.2	m	0.8	138.8	39.3	338.2	15.2	47518.43	d	
70334.05	394034.1	07036+3941	A  1959		10.6		10.34		31.85	y	0.25	0.259	a	0.003	63.3	2.5	172.3	3.5	1988.36	y	4.6
