Simbad-Resolvable Name,Source (Original),Alternative Names,Star Forming Region,SFR Age (Myr),COORDS,Disk Type,Reference,Epoch,Effective Temperature K,Temp err,Sp Type,Sp Type Err,J Magnitude,K Magnitude,R Magnitude,Method,Wavelength Range,Instrument,Tracer,Accretion Diagnostic,Line Flux erg/s/cm^2,Object Luminosity L_solar,Object Luminosity Error,Object Radius from L and T,R_err from L and T,Object Radius R_solar,R_err,New Radius,Accretion Rate M_solar yr-1,Log Accretion Rate,Object Mass Range M_solar,Object Mass M_Solar,Object Mass Err,New Mass,log object mass,Accretion Luminosity (CGS),Log Accretion Luminosity (solar),Age range Myr,System Age Myr,Companion?,A_V,A_V err,A_V source,A_J,Upper Limit,Notes/Questions2,Notes/Questions3,Distance
[NC98] Cha HA 5,Cha Ha 5,,Chamaeleon I,,167.1083 -77.6961,II,Natta 2004,March to June 2003,2980,150,M6,0.5,12.05,10.71,,HIgh resolution spectra,optical,UVES/VLT,Line Width,Ha 10% width,,0.049,,0.83,,,,,1.00E-12,-12,,9.54E-02,,,-1.020315076,,,,2,,,,,,upper limit,,,196.7922857
[NC98] Cha HA 5,Cha Ha 5,,Chamaeleon I,,167.1083 -77.6961,II,Natta 2004,March to June 2003,2980,150,M6,0.5,12.05,10.71,,HIgh resolution spectra,infrared,UVES/VLT,Line Strength,PaB luminosity,,0.049,,0.83,,,,,1.00E-10,-10,,9.54E-02,,,-1.020315076,,,,2,,,,,,upper limit,,,196.7922857
[NC98] Cha HA 6,Cha Ha 6,,Chamaeleon I,,167.1667 -77.5811,II,Mohanty 2005,May 2002 - December 2003,3025,,M5.75,,12.26,11.04,,High Res spectra,8662 A,MIKE,Line Strength,Ca II,4.51E+00,,,,,,,0.5,2.51E-11,-10.6,,1.20E-01,,0.038679,,,,,2,,,,,,upper limit,disk classification from Luhman et al. 2008 Accretion rate equation 1,,179.3239487
[NC98] Cha HA 6,Cha Ha 6,,Chamaeleon I,,167.1667 -77.5811,II,Mohanty 2005,May 2002 - December 2003,3025,,M5.75,,12.26,11.04,,High Res spectra,8662 A,MIKE,Line Strength,Ca II,4.51E+00,,,,,,,0.5,1.58E-11,-10.8,,1.20E-01,,0.038679,,,,,2,,,,,,upper limit,disk classification from Luhman et al. 2008 Accretion rate equation 3,,179.3239487
CV Cha,CV Cha,,Chamaeleon I,,168.11543856 -76.73952739,II,Salyk 2013,2001-2011,5451,,G8,,8.29,6.85,10.51,R 25000 Spectroscopy,4.6538 μm,NIRSPEC/KeckII,Line Strength,PfB,2.24E+30,8,,3.18,,3.2,,,1.55E-07,-6.81,,2.10E+00,,,,,0.41,,2,,,,,,,,,193.2404491
2MASS J10561638-7630530,2MASS J10561638-7630530,,Chameleon I,,164.068252 -76.514725,U,Muzerolle 2005,30-Dec-03,3014,,M5.6,,12.54,11.52,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,,,0.64,,,1.58E-11,-10.8,,1.00E-01,,,,,,,2,,,,,,,,,196.4829551
2MASS J10580597-7711501,2MASS J10580597-7711501,,Chameleon I,,164.524916 -77.19725,II,Muzerolle 2005,30-Dec-03,3091,,M5.25,,13.41,12.27,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,,,0.47,,,1.00E-12,-12,,1.00E-01,,,,,,,2,,,,,,upper limit,disk classification from Luhman et al. 2008,,186.570645
2MASS J11072443-7743489,2MASS J11072443-7743489,,Chameleon I,,166.851832 -77.730263,III,Muzerolle 2005,30-Dec-03,3024,,M5.75,,13.45,11.84,19.55,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,,,0.75,,,1.00E-12,-12,,1.10E-01,,,,,,,2,,,,,,upper limit,disk classification from Luhman et al. 2008,,193.3076878
2MASS J11075993-7715317,2MASS J11075993-7715317,,Chameleon I,,166.999709 -77.258827,III,Muzerolle 2005,30-Dec-03,3024,,M5.75,,12.52,11.17,17.87,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,,,0.95,,,1.00E-12,-12,,1.20E-01,,,,,,,2,,,,,,upper limit,disk classification from Luhman et al. 2008,,194.2313295
2MASS J11080234-7640343,2MASS J11080234-7640343,,Chameleon I,,167.009773 -76.676208,III,Muzerolle 2005,30-Dec-03,2990,,M6,,12.95,11.95,18.21,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,,,0.58,,,1.00E-12,-12,,8.00E-02,,,,,,,2,,,,,,upper limit,disk classification from Luhman et al. 2008,,193.2852697
2MASS J11173792-7646193,2MASS J11173792-7646193,,Chameleon I,,169.408026 -76.772049,III,Muzerolle 2005,30-Dec-03,3024,,M5.75,,13.51,12.62,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,,,0.42,,,1.00E-12,-12,,8.00E-02,,,,,,,2,,,,,,upper limit,disk classification from Luhman et al. 2008,,160.3489192
2MASS J11115400-7619311,CHXR49NE,,Chameleon I,,167.9750083 -76.3253167,U,Muzerolle 2005,30-Dec-03,3430,,M2.5,,10.2,9.23,13.98,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,,,1.7,,,,,,4.40E-01,,,,,,,2,,,,,,,,,
2MASS J11095215-7639128,ISO 217,,Chameleon I,,167.4667 -76.6536,II,Muzerolle 2005,30-Dec-03,2962,,M6.25,,13.53,11.82,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,,,0.64,,,1.00E-10,-10,,8.00E-02,,,,,,,2,,,,,,,disk classification from Luhman et al. 2008,,240.1421642
2MASS J11104141-7720480,ISO 252,,Chameleon I,,167.6708 -77.3467,II,Muzerolle 2005,30-Dec-03,2990,,M6,,13.86,12.27,20.06,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,,,0.62,,,1.00E-10,-10,,8.00E-02,,,,,,,2,,,,,,,disk classification from Luhman et al. 2008,,204.2233386
V* UY Cha,T23,,Chameleon I,,166.7458 -77.3150,II,Muzerolle 2005,30-Dec-03,3138,,M4.25,,11.2,10,,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,0.12,,1.18,,1.2,,,,,,1.80E-01,,,,,,,2,,,,,,,disk classification from Luhman et al. 2008,,190.3384217
V* SX Cha,T3E,,Chameleon I,,164 -77.4111,U,Muzerolle 2005,30-Dec-03,3342,,M0.5,,,8.69,14.23,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,,,,,,,,,,,3.50E-01,,,,,,,2,,,,,,,,,185.0823617
V* SX Cha,T3W,,Chameleon I,,164 -77.4111,U,Muzerolle 2005,30-Dec-03,3850,,M3.5,,,8.69,14.23,Echelle Spectra,3200 - 10000 A,MIKE,Line Width,Ha 10% width,,0.27,,1.17,,1.2,,,,,,7.30E-01,,,,,,,2,,,,,,,,,185.0823617
Cl* IC 348 LRL 291,IC348 291,,IC348 ,,56.1417 32.1158,U,Mohanty 2005,May 2002 - December 2003,2850,,M7.25,,14.02,,19.47,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.36,,,,,,,,1.58E-11,-10.8,,5.00E-02,,0.035005,,,,,1,,1.06,,"Luhman+2003, converted from A_J",,upper limit,Accretion rate equation 1,,234.9403252
Cl* IC 348 LRL 291,IC348 291,,IC348 ,,56.1417 32.1158,U,Mohanty 2005,May 2002 - December 2003,2850,,M7.25,,14.02,,19.47,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.36,,,,,,,,1.00E-11,-11,,5.00E-02,,0.035005,,,,,1,,1.06,,"Luhman+2003, converted from A_J",,upper limit,Accretion rate equation 3,,234.9403252
Cl* IC 348 LRL 415,IC348 415,,IC348 ,,56.1250 32.1611,II,Mohanty 2005,May 2002 - December 2003,2950,,M6.5,,15.22,13.75,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,5.68,,,,,,,,3.98E-10,-9.4,,7.00E-02,,0.051704,,,,,1,,2.9,,"Luhman+2003, converted from A_J",,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 1,,417.9553624
Cl* IC 348 LRL 415,IC348 415,,IC348 ,,56.1250 32.1611,II,Mohanty 2005,May 2002 - December 2003,2950,,M6.5,,15.22,13.75,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,5.68,,,,,,,,1.58E-10,-9.8,,7.00E-02,,0.051704,,,,,1,,2.9,,"Luhman+2003, converted from A_J",,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 3,,417.9553624
Cl* IC 348 LRL 382,IC348 382,,IC348 ,,56.1291 32.0456,II,Muzerolle 2003,2000-2001,,,M6.5,,15.53,13.72,,R = 8000 Spectroscopy and R = 34000 spectriscopy,3908 A to 11000 A,ESI Keck II and HIRES Keck I,Line Width,Ha 10% width,,0.012,,,,0.5,,,5.01E-11,-10.3,0.04,4.00E-02,,0.046938,,5.09E+26,1.27E-07,,2,,5.1,,"Luhman+2003, converted from A_J",,,disk classification from Ruiz-Rodrigues 2018,2.77,
Cl* IC 348 LRL 415,IC348 415,,IC348 ,,56.1250 32.1611,II,Muzerolle 2003,2000-2001,,,M6.25,,15.22,13.75,,R = 8000 Spectroscopy and R = 34000 spectriscopy,3907 A to 11000 A,ESI Keck II and HIRES Keck I,Line Width,Ha 10% width,,0.01,,,,0.5,,,5.01E-10,-9.3,0.04,4.00E-02,,0.051704,,5.09E+27,1.27E-06,,2,,2.9,,"Luhman+2003, converted from A_J",,,disk classification from Ruiz-Rodrigues 2018,1.35,417.9553624
Cl* IC 348 LRL 165,Cl* IC 348 LRL 165,,IC348 ,,56.1458 32.1489,II,Mohanty 2005,May 2002 - December 2003,3100,,M5.25,,13.25,11.83,17.71,High Res spectra,8662 A,HIRES,Line Strength,Ca II,5.60E+00,,,,,,,,3.16E-10,-9.5,,1.40E-01,,,,,,,1,,,,,,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 1,,321.3264355
Cl* IC 348 LRL 165,Cl* IC 348 LRL 165,,IC348 ,,56.1458 32.1489,II,Mohanty 2005,May 2002 - December 2003,3100,,M5.25,,13.25,11.83,17.71,High Res spectra,8662 A,HIRES,Line Strength,Ca II,5.60E+00,,,,,,,,1.26E-10,-9.9,,1.40E-01,,,,,,,1,,,,,,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 3,,321.3264355
Cl* IC 348 LRL 165,Cl* IC 348 LRL 165,,IC348 ,,56.1458 32.1489,II,Muzerolle 2003,2000-2001,,,M5.25,,13.25,11.83,17.71,R = 8000 Spectroscopy and R = 34000 spectriscopy,3903 A to 11000 A,ESI Keck II and HIRES Keck I,Line Width,Ha 10% width,,0.105,,,,1,,,1.00E-10,-10,0.12,1.20E-01,,,-0.920818754,1.52E+27,3.81E-07,,0.44,,2.41,,"Luhman 1998, converted from A_J",,,disk classification from Ruiz-Rodrigues 2018,,321.3264355
2MASS J03441012+3204045,IC348 173,,IC348 ,,56.0417 32.0681,II,Muzerolle 2003,2000-2001,,,M5.75,,13.22,11.93,18.25,R = 8000 Spectroscopy and R = 34000 spectriscopy,3904 A to 11000 A,ESI Keck II and HIRES Keck I,Line Width,Ha 10% width,,0.112,,,,1,,,1.00E-10,-10,0.1,1.00E-01,,,-1,1.27E+27,3.18E-07,,0.25,,1.42,,,,,disk classification from Ruiz-Rodrigues 2018,,
2MASS J03442980+3200545,IC348 205,,IC348 ,,56.1250 32.0153,II,Mohanty 2005,May 2002 - December 2003,3000,,M6.0,,13.67,12.33,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,5.08E+00,,,,,,,,1.00E-10,-10,,1.00E-01,,,,,,,1,,,,,,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 1,,490.4364885
2MASS J03442980+3200545,IC348 205,,IC348 ,,56.1250 32.0153,II,Mohanty 2005,May 2002 - December 2003,3000,,M6.0,,13.67,12.33,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,5.08E+00,,,,,,,,5.01E-11,-10.3,,1.00E-01,,,,,,,1,,,,,,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 3,,490.4364885
2MASS J03442980+3200545,IC348 205,,IC348 ,,56.1250 32.0153,II,Muzerolle 2003,2000-2001,,,M6,,13.67,12.33,,R = 8000 Spectroscopy and R = 34000 spectriscopy,3905 A to 11000 A,ESI Keck II and HIRES Keck I,Line Width,Ha 10% width,,0.078,,,,1,,,1.00E-10,-10,0.09,9.00E-02,,,-1.045757491,1.14E+27,2.86E-07,,0.33,,1.21,,,,,disk classification from Ruiz-Rodrigues 2018,,490.4364885
2MASS J03435526+3207533,IC348 256,,IC348 ,,55.9792 32.1314,II,Mohanty 2005,May 2002 - December 2003,3025,,M5.75,,13.68,12.63,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.51E+00,,,,,,,,2.51E-11,-10.6,,1.20E-01,,,,,,,1,,,,,,upper limit,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 1,,390.3048281
2MASS J03435526+3207533,IC348 256,,IC348 ,,55.9792 32.1314,II,Mohanty 2005,May 2002 - December 2003,3025,,M5.75,,13.68,12.63,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.51E+00,,,,,,,,1.58E-11,-10.8,,1.20E-01,,,,,,,1,,,,,,upper limit,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 3,,390.3048281
Cl* IC 348 LRL 336,Cl* IC 348 LRL 336,,IC348 ,,56.1333 32.0575,II,Muzerolle 2003,2000-2001,,,M5.5,,14.88,13.48,20.68,R = 8000 Spectroscopy and R = 34000 spectriscopy,3906 A to 11000 A,ESI Keck II and HIRES Keck I,Line Width,Ha 10% width,,0.04,,,,1,,,1.00E-10,-10,0.1,1.00E-01,,,-1,1.27E+27,3.18E-07,,2.6,,3.12,,,,,disk classification from Ruiz-Rodrigues 2018,,248.651068
Cl* IC 348 LRL 382,Cl* IC 348 LRL 382,,IC348 ,,56.1291 32.0456,II,Mohanty 2005,May 2002 - December 2003,3050,,M5.5,,15.53,13.72,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.82E+00,,,,,,,0.34,5.01E-11,-10.3,,1.10E-01,,0.046938,,,,,1,,,,,,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 1,,
Cl* IC 348 LRL 382,Cl* IC 348 LRL 382,,IC348 ,,56.1291 32.0456,II,Mohanty 2005,May 2002 - December 2003,3050,,M5.5,,15.53,13.72,,High Res spectra,8662 A,HIRES,Line Strength,Ca II,4.82E+00,,,,,,,0.34,2.51E-11,-10.6,,1.10E-01,,0.046938,,,,,1,,,,,,,disk classification from Ruiz-Rodrigues 2018 Accretion rate equation 3,,
2MASS J16085953-3856275,2MASS J16085953-3856275,,Lupus,,242.24804167 -38.94097222,II,Alcala 2017,,2.60E+03,,M8.5,0.5,13.9,12.84,19.25,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.47,0.11,0.29,,-1.06E+01,,2.00E-02,1.00E-02,0.023677,-1.70E+00,,-4.60E+00,10-Mar,3,,0.00E+00,,Nisini+2017,,,Barraffe 15,,150
2MASS J15414081-3345188,AKC2006-18,,Lupus,,235.42003733 -33.75523944,II,Alcala 2017,2015,2.94E+03,,M6.5,0.5,14.66,13.56,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.4,0.09,0.26,6.31E-12,-1.12E+01,,7.00E-02,1.00E-02,0.045802,-1.15E+00,,-4.60E+00,10-Mar,3,,0.00E+00,,Nisini+2017,,,Barraffe 15,,149
2MASS J16083733-3923109,Lup706,,Lupus,,242.15555937 -39.38636833,II,Alcala 2017,,2.80E+03,,M7.5,0.5,15.17,13.83,20.7,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.22,0.05,,2.51E-12,-1.16E+01,,5.00E-02,1.00E-02,0.031801,-1.30E+00,,-4.80E+00,10-Mar,3,,0.00E+00,,Nisini+2017,,,Barraffe 15,,187
CD-35 10525B,GQ Lup b,,Lupus,,237.300375 -35.651083,U,Zhou 2014,12-Feb-12,2400,,M9,,,,,optical broadband photometry,optical,HST/WFC3,Excess,Excess Balmer,1.30E-16,,,,,0.462254,0.140686,0.5,5.01E-10,-9.3,,2.96E-02,0.009541985,,,,-2.9,10-Mar,3,companion,1.50E+00,,,,,Added SIMBAD spectral type (Neuhaeuser 2005),T R M from prEVious literature,155
CD-35 10525B,GQ Lup b,,Lupus,,237.300375 -35.651083,U,Zhou 2014,12-Feb-12,2050,350,M9,,,,,optical broadband photometry,optical,HST/WFC3,Excess,Excess Balmer,1.30E-16,,,,,0.462254,0.140686,0.5,5.01E-10,-9.3,,2.29E-02,0.011450382,,,,-2.9,10-Mar,3,companion,1.50E+00,,,,,Added SIMBAD spectral type (Neuhaeuser 2005),T R M meausred by Zhou,155
2MASS J16081497-3857145,2MASS J16081497-3857145,,Lupus,,242.062406 -38.954041,II,Alcala 2017,2015,3.06E+03,7.10E+01,M5.5,0.5,15.21,13.13,18.93,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.33,0.09,,5.01E-11,-1.03E+01,,1.00E-01,2.00E-02,,-1.00E+00,,-3.40E+00,10-Mar,3,,,,,,,,,145.6897682
