Simbad-Resolvable Name,Source (Original),Alternative Names,Star Forming Region,SFR Age (Myr),COORDS,Disk Type,Reference,Epoch,Effective Temperature K,Temp err,Sp Type,Sp Type Err,J Magnitude,K Magnitude,R Magnitude,Method,Wavelength Range,Instrument,Tracer,Accretion Diagnostic,Line Flux erg/s/cm^2,Object Luminosity L_solar,Object Luminosity Error,Object Radius from L and T,R_err from L and T,Object Radius R_solar,R_err,New Radius,Accretion Rate M_solar yr-1,Log Accretion Rate,Object Mass Range M_solar,Object Mass M_Solar,Object Mass Err,New Mass,log object mass,Accretion Luminosity (CGS),Log Accretion Luminosity (solar),Age range Myr,System Age Myr,Companion?,A_V,A_V err,A_V source,A_J,Upper Limit,Notes/Questions2,Notes/Questions3,Distance
2MASS J16085324-3914401,2MASS J16085324-3914401,,Lupus,,242.221844 -39.244492,II,Alcala 2017,2015,3.42E+03,7.90E+01,M3,0.5,11.33,9.8,15.35,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.57,0.38,,1.58E-10,-9.80E+00,,3.20E-01,4.00E-02,,-4.95E-01,,-3.10E+00,10-Mar,3,,,,,,,,,167.7064466
2MASS J16085373-3914367,2MASS J16085373-3914367,,Lupus,,242.223903 -39.243553,II,Alcala 2017,2015,3.06E+03,7.10E+01,M5.5,0.5,14.97,12.52,21.73,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.29,0.06,,2.51E-11,-1.06E+01,,1.00E-01,2.00E-02,,-1.00E+00,,-3.70E+00,10-Mar,3,,,,,,,,,133.6916269
2MASS J16085529-3848481,2MASS J16085529-3848481,,Lupus,,242.230378 -38.813377,II,Alcala 2017,2015,2.94E+03,6.80E+01,M6.5,0.5,12.99,12.02,17.24,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.07,0.29,,3.16E-11,-1.05E+01,,1.00E-01,2.00E-02,,-1.00E+00,,-4.10E+00,10-Mar,3,,,,,,,,,157.5150427
2MASS J16100133-3906449,2MASS J16100133-3906449,,Lupus,,242.505561 -39.112476,II,Alcala 2017,2015,2.94E+03,6.80E+01,M6.5,0.5,12.2,10.52,17.9,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.77,0.55,,2.04E-10,-9.69E+00,,1.40E-01,3.00E-02,,-8.54E-01,,-3.40E+00,10-Mar,3,,,,,,,,,192.5595009
2MASS J15445789-3423392,AKC2006-19,,Lupus,,236.2417 -34.3942,II,Alcala 2017,,3.13E+03,7.20E+01,M5,0.5,12.98,12.13,17.29,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.44,0.1,,1.26E-11,-1.09E+01,,1.20E-01,3.00E-02,,-9.21E-01,,-4.10E+00,10-Mar,3,,,,,,,,,152.8935097
2MASS J16030548-4018254,EX Lup,,Lupus,,240.77288099 -40.30706293,II,Alcala 2017,2010,3.85E+03,1.77E+02,M0,0.5,9.73,8.5,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,2.49,0.58,,3.63E-08,-7.44E+00,,5.60E-01,1.40E-01,,-2.52E-01,,-7.00E-01,10-Mar,3,,,,,,,,,157.6963714
Lup604s,Lup604s,,Lupus,,242.000 -39.0167,II,Alcala 2017,,3.06E+03,7.00E+01,M5.5,0.5,,,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.83,0.19,,5.01E-11,-1.03E+01,,1.30E-01,2.00E-02,,-8.86E-01,,-3.70E+00,10-Mar,3,,,,,,,,,
[LEM2005] Lup 607,Lup607,,Lupus,,242.1167 -39.2194,II,Alcala 2017,2015,2.94E+03,6.60E+01,M6.5,0.5,13.74,12.44,17.76,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.03,0.27,,5.01E-12,-1.13E+01,,1.00E-01,1.00E-02,,-1.00E+00,,-4.90E+00,10-Mar,3,,,,,,upper limit,,,175.2541185
2MASS J16073773-3921388,Lup713,,Lupus,,241.9083 -39.3608,II,Alcala 2017,,3.06E+03,7.00E+01,M5.5,0.5,13.24,12.13,17.12,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.52,0.12,,6.31E-11,-1.02E+01,,1.10E-01,2.00E-02,,-9.59E-01,,-3.50E+00,10-Mar,3,,,,,,,,,174.3952844
2MASS J16095628-3859518,Lup818s,,Lupus,,242.4833 -38.9978,II,Alcala 2017,,2.99E+03,6.70E+01,M6,0.5,13.01,11.99,16.49,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.58,0.13,,2.00E-11,-1.07E+01,,1.00E-01,1.00E-02,,-1.00E+00,,-4.10E+00,10-Mar,3,,,,,,,,,2201.188642
MY Lup,MY Lup,,Lupus,,240.1875 -41.9253,III,Alcala 2017,2015,5.10E+03,2.35E+02,K0,1,9.46,8.35,11.06,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.13,0.24,,2.24E-10,-9.65E+00,,1.02E+00,1.30E-01,,8.60E-03,,-2.30E+00,10-Mar,3,,,,,,upper limit,,,156.5851902
IRAS 16054-3857,Par-Lup3-3,,Lupus,,242.2042  -39.0942,II,Alcala 2017,,3.27E+03,7.50E+01,M4,0.5,11.45,9.54,15.89,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.59,0.37,,3.09E-10,-9.51E+00,,2.60E-01,3.00E-02,,-5.85E-01,,-2.90E+00,10-Mar,3,,,,,,,,,
THA 15-35,THA 15-35,Par-Lup3-4,Lupus,,242.25770353 -39.08678228,II,Alcala 2017,,3.20E+03,7.40E+01,M4.5,0.5,10.41,9.32,14.35,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.17,0.04,,3.16E-12,-1.15E+01,,1.60E-01,2.00E-02,,-7.96E-01,,-4.10E+00,10-Mar,3,,,,,,,,,162.2507423
RXJ1556.1-3655,RXJ1556.1-3655,,Lupus,,239.00874658 -36.92452068,II,Alcala 2017,2010,3.71E+03,1.71E+02,M1,0.5,10.4,9.3,12.91,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.17,0.27,,1.29E-08,-7.89E+00,,4.60E-01,1.20E-01,,-3.37E-01,,-9.00E-01,10-Mar,3,,,,,,,,,158.0103339
RY Lup,RY Lup,,Lupus,,239.8708 -40.3642,III,Alcala 2017,2015,4.90E+03,2.26E+02,K2,1,8.55,6.98,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.79,0.38,,6.17E-09,-8.21E+00,,1.47E+00,2.20E-01,,1.67E-01,,-9.00E-01,10-Mar,3,,,,,,,,,159.098864
2MASS J16115979-3823383,SST-Lup3-1,,Lupus,,243 -38.3942,II,Alcala 2017,,3.13E+03,7.20E+01,M5,0.5,12.2,11.2,16.24,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.85,0.19,,6.31E-11,-1.02E+01,,1.50E-01,3.00E-02,,-8.24E-01,,-3.60E+00,10-Mar,3,,,,,,,,,164.5359264
2MASS J16090141-3925119,SSTc2d160901.4-392512,,Lupus,,242.2542 -39.42,II,Alcala 2017,,3.27E+03,7.50E+01,M4,0.5,11.61,10.29,15.04,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.25,0.29,,2.09E-10,-9.68E+00,,2.40E-01,4.00E-02,,-6.20E-01,,-3.00E+00,10-Mar,3,,,,,,,,,164.3088349
2MASS J15450887-3417333,SSTc2dJ154508.9-341734,,Lupus,,236.28697815 -34.29262805,II,Alcala 2017,2015,3.06E+03,7.10E+01,M5.5,0.5,12.19,9.71,18.73,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.85,0.21,,3.89E-09,-8.41E+00,,1.40E-01,2.00E-02,,-8.54E-01,,-1.80E+00,10-Mar,3,,,,,,,,,154.9594781
SSTc2dJ154518.5-342125,SSTc2dJ154518.5-342125,,Lupus,,236.32715007 -34.35682337,II,Alcala 2017,2015,2.94E+03,6.80E+01,M6.5,0.5,11.64,10.48,17.35,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.78,0.17,,1.58E-11,-1.08E+01,,1.00E-01,1.00E-02,,-1.00E+00,,-4.30E+00,10-Mar,3,,,,,,,,,151.765795
SSTc2dJ155925.2-423507,SSTc2dJ155925.2-423507,,Lupus,,239.85514534 -42.58515954,II,Alcala 2017,2015,3.13E+03,7.20E+01,M5,0.5,13.18,12.26,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.48,0.11,,6.31E-12,-1.12E+01,,1.20E-01,2.00E-02,,-9.21E-01,,-4.40E+00,10-Mar,3,,,,,,,,,147.2190325
SSTc2dJ160000.6-422158,SSTc2dJ160000.6-422158,,Lupus,,240.00251065 -42.36578362,II,Alcala 2017,2015,3.20E+03,7.40E+01,M4.5,0.5,11.63,10.66,15.25,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.96,0.23,,1.62E-10,-9.79E+00,,1.90E-01,3.00E-02,,-7.21E-01,,-3.10E+00,10-Mar,3,,,,,,,,,161.2045202
SSTc2dJ160002.4-422216,SSTc2dJ160002.4-422216,,Lupus,,240.00983193 -42.37072091,II,Alcala 2017,2015,3.27E+03,7.50E+01,M4,0.5,11.45,10.14,14.98,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.2,0.27,,2.04E-10,-9.69E+00,,2.40E-01,4.00E-02,,-6.20E-01,,-3.00E+00,10-Mar,3,,,,,,,,,164.1712635
SSTc2dJ160026.1-415356,SSTc2dJ160026.1-415356,,Lupus,,240.10883485 -41.89871701,II,Alcala 2017,2015,3.06E+03,7.10E+01,M5.5,0.5,11.82,10.78,15.7,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.91,0.27,,1.32E-10,-9.88E+00,,1.40E-01,3.00E-02,,-8.54E-01,,-3.30E+00,10-Mar,3,,,,,,,,,164.3331361
SSTc2dJ160703.9-391112,SSTc2dJ160703.9-391112,,Lupus,,241.76596229 -39.18657754,EV,Alcala 2017,2015,3.20E+03,7.40E+01,M4.5,0.5,14.68,13.11,18.79,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.23,0.06,,3.16E-13,-1.25E+01,,1.70E-01,3.00E-02,,-7.70E-01,,-5.20E+00,10-Mar,3,,,,,,,,,
SSTc2dJ160830.7-382827,SSTc2dJ160830.7-382827,,Lupus,,242.12791341 -38.47412417,III,Alcala 2017,2015,4.90E+03,2.26E+02,K2,1,8.97,8.23,10.67,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,2.41,0.52,,8.51E-10,-9.07E+00,,1.81E+00,2.80E-01,,2.58E-01,,-1.80E+00,10-Mar,3,,,,,,upper limit,,,156.115838
SSTc2dJ160836.2-392302,SSTc2dJ160836.2-392302,,Lupus,,242.15 -39.3842,EV,Alcala 2017,2015,4.21E+03,1.93E+02,K6,1,9.88,8.66,12.47,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,2.63,0.63,,1.91E-08,-7.72E+00,,4.70E-01,1.40E-01,,-3.28E-01,,-8.00E-01,10-Mar,3,,,,,,,,,153.6428725
SSTc2dJ160927.0-383628,SSTc2dJ160927.0-383628,,Lupus,,242.3623958 -38.6074778,II,Alcala 2017,2015,3.20E+03,7.40E+01,M4.5,0.5,12.55,10.95,16.31,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.1,0.24,,1.12E-08,-7.95E+00,,2.00E-01,3.00E-02,,-6.99E-01,,-1.30E+00,10-Mar,3,,,,,,,,,159.3549312
SSTc2dJ161018.6-383613,SSTc2dJ161018.6-383613,,Lupus,,242.57736819 -38.60349952,II,Alcala 2017,2015,3.13E+03,7.20E+01,M5,0.5,12.66,11.76,16.67,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.84,0.22,,3.98E-11,-1.04E+01,,1.50E-01,3.00E-02,,-8.24E-01,,-3.80E+00,10-Mar,3,,,,,,,,,158.8007368
SSTc2dJ161019.8-383607,SSTc2dJ161019.8-383607,,Lupus,,242.58264139 -38.60182811,II,Alcala 2017,2015,2.94E+03,6.80E+01,M6.5,0.5,13.28,12.32,16.76,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.03,0.27,,5.01E-11,-1.03E+01,,1.00E-01,2.00E-02,,-1.00E+00,,-3.90E+00,10-Mar,3,,,,,,,,,158.5766163
SSTc2dJ161029.6-392215,SSTc2dJ161029.6-392215,,Lupus,,242.6231304 -39.37068223,III,Alcala 2017,2015,3.20E+03,7.40E+01,M4.5,0.5,11.95,10.91,15.79,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.29,0.29,,1.51E-10,-9.82E+00,,2.20E-01,3.00E-02,,-6.58E-01,,-3.20E+00,10-Mar,3,,,,,,,,,163.2333257
SSTc2dJ161243.8-381503,SSTc2dJ161243.8-381503,,Lupus,,243.18229175 -38.25085441,II,Alcala 2017,2015,3.71E+03,1.71E+02,M1,0.5,10.54,9.54,13.39,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.91,0.42,,1.66E-09,-8.78E+00,,4.70E-01,1.10E-01,,-3.28E-01,,-2.00E+00,10-Mar,3,,,,,,,,,159.813338
SSTc2dJ161344.1-373646,SSTc2dJ161344.1-373646,,Lupus,,243.43375286 -37.61285033,II,Alcala 2017,2015,3.13E+03,7.20E+01,M5,0.5,12.76,11.61,16.37,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.9,0.2,,1.15E-09,-8.94E+00,,1.60E-01,3.00E-02,,-7.96E-01,,-2.30E+00,10-Mar,3,,,,,,,,,160
Sz 100,Sz100,,Lupus,,242.10735491 -39.10033907,III,Alcala 2017,,3.06E+03,7.00E+01,M5.5,0.5,10.98,9.91,14.97,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.43,0.33,,3.24E-10,-9.49E+00,,1.80E-01,3.00E-02,,-7.45E-01,,-3.00E+00,10-Mar,3,,,,,,,,,136.9394043
Sz 103,Sz103,,Lupus,,242.12612094 -39.1031041,II,Alcala 2017,,3.27E+03,7.50E+01,M4,0.5,11.38,10.23,15.18,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.41,0.3,,9.12E-10,-9.04E+00,,2.50E-01,3.00E-02,,-6.02E-01,,-2.40E+00,10-Mar,3,,,,,,,,,159.4998086
Sz 104,Sz104,,Lupus,,242.12839542 -39.09690023,II,Alcala 2017,,3.13E+03,7.20E+01,M5,0.5,11.67,10.65,13.96,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.11,0.26,,1.58E-10,-9.80E+00,,1.80E-01,3.00E-02,,-7.45E-01,,-3.20E+00,10-Mar,3,,,,,,,,,165.461555
Sz 106,Sz106,,Lupus,,242.16566634 -39.10703349,II,Alcala 2017,,3.78E+03,1.74E+02,M0.5,0.5,11.65,10.15,15,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.72,0.17,,1.82E-10,-9.74E+00,,5.10E-01,1.10E-01,,-2.92E-01,,-2.50E+00,10-Mar,3,,,,,,,,,161.6684181
NAME Sz 108B,Sz108B,,Lupus,,242.1792 -39.1042,II,Alcala 2017,2015,3.13E+03,7.20E+01,M5,0.5,,,17.71,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.33,0.36,,3.55E-10,-9.45E+00,,1.90E-01,3.00E-02,,-7.21E-01,,-2.90E+00,10-Mar,3,,,,,,,,,168.918919
Sz110,Sz110,,Lupus,,242.21487275 -39.05491827,II,Alcala 2017,,3.27E+03,7.50E+01,M4,0.5,10.97,9.75,13.72,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.61,0.37,,2.51E-09,-8.60E+00,,2.60E-01,3.00E-02,,-5.85E-01,,-2.00E+00,10-Mar,3,,,,,,,,,159.507441
Sz111,Sz111,,Lupus,,242.22785305 -39.62865152,II,Alcala 2017,,3.71E+03,1.71E+02,M1,0.5,10.62,9.54,13.29,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.4,0.32,,7.76E-10,-9.11E+00,,4.60E-01,1.20E-01,,-3.37E-01,,-2.20E+00,10-Mar,3,,,,,,,,,158.3305625
Sz112,Sz112,,Lupus,,242.2313718 -39.04276106,II,Alcala 2017,,3.13E+03,7.20E+01,M5,0.5,11,9.96,14.78,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.52,0.35,,1.95E-10,-9.71E+00,,2.00E-01,3.00E-02,,-6.99E-01,,-3.20E+00,10-Mar,3,,,,,,,,,160.2743898
Sz113,Sz113,,Lupus,,242.24084719 -39.039681,II,Alcala 2017,,3.20E+03,7.40E+01,M4.5,0.5,12.47,11.26,16.64,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.83,0.19,,1.41E-09,-8.85E+00,,1.90E-01,3.00E-02,,-7.21E-01,,-2.10E+00,10-Mar,3,,,,,,,,,163.2359903
Sz114,Sz114,,Lupus,,242.25770353 -39.08678228,II,Alcala 2017,,3.18E+03,7.30E+01,M4.8,0.5,10.41,9.32,14.35,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.82,0.42,,1.02E-09,-8.99E+00,,2.30E-01,3.00E-02,,-6.38E-01,,-2.50E+00,10-Mar,3,,,,,,,,,162.2507423
Sz115,Sz115,,Lupus,,242.2758902 -39.14774196,II,Alcala 2017,,3.20E+03,7.40E+01,M4.5,0.5,11.33,10.45,15.09,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.36,0.31,,5.01E-10,-9.30E+00,,2.20E-01,3.00E-02,,-6.58E-01,,-2.70E+00,10-Mar,3,,,,,,,,,157.9055409
Sz117,Sz117,,Lupus,,242.43483685 -39.22504646,II,Alcala 2017,2015,3.34E+03,7.70E+01,M3.5,0.5,10.68,9.42,14.2,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,2,0.43,,2.24E-09,-8.65E+00,,2.90E-01,3.00E-02,,-5.38E-01,,-2.10E+00,10-Mar,3,,,,,,,,,158.5615298
Sz118,Sz118,,Lupus,,242.45273223 -39.18801279,II,Alcala 2017,2015,4.35E+03,2.00E+02,K5,1,10.46,8.69,16.61,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.82,0.4,,1.07E-09,-8.97E+00,,1.09E+00,2.00E-01,,3.74E-02,,-1.80E+00,10-Mar,3,,,,,,,,,163.9048696
THA 15-42,Sz123A,,Lupus,,242.7125 -38.8875,II,Alcala 2017,,3.71E+03,1.71E+02,M1,0.5,11.09,9.78,14.44,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.1,0.25,,1.55E-09,-8.81E+00,,4.60E-01,1.20E-01,,-3.37E-01,,-1.80E+00,10-Mar,3,,,,,,,,,162.8160667
NAME THA 15-42B,Sz123B,,Lupus,,242.7125 -38.8869,II,Alcala 2017,,3.56E+03,1.64E+02,M2,0.5,,,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,0.58,0.13,,1.38E-10,-9.86E+00,,3.40E-01,9.00E-02,,-4.69E-01,,-2.70E+00,10-Mar,3,,,,,,,,,162.8160667
Sz129,Sz129,,Lupus,,239.81863109 -41.95286119,II,Alcala 2017,2015,4.06E+03,1.87E+02,K7,1,9.93,8.61,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.23,0.27,,3.89E-09,-8.41E+00,,8.00E-01,1.60E-01,,-9.69E-02,,-1.20E+00,10-Mar,3,,,,,,,,,161.6814875
Sz130,Sz130,,Lupus,,240.12932289 -41.72694197,II,Alcala 2017,,3.56E+03,1.64E+02,M2,0.5,10.73,9.62,13.56,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.03,0.24,,7.08E-10,-9.15E+00,,3.70E-01,9.00E-02,,-4.32E-01,,-2.20E+00,10-Mar,3,,,,,,,,,160.2692523
Sz131,Sz131,,Lupus,,240.20597286 -41.50108859,II,Alcala 2017,2015,3.42E+03,7.90E+01,M3,0.5,11.47,10.1,14.6,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,,,,,1.04,0.23,,5.62E-10,-9.25E+00,,3.00E-01,4.00E-02,,-5.23E-01,,-2.40E+00,10-Mar,3,,,,,,,,,160.307791
Sz65,Sz65,,Lupus,,234.86571555 -34.77144696,II,Alcala 2017,2015,4.06E+03,1.87E+02,K7,1,9.19,7.98,11.33,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,0.832,0.3623,1.85,0.24,1.84,0.4,,2.45E-10,-9.61E+00,,7.60E-01,1.80E-01,,-1.19E-01,,-2.60E+00,10-Mar,3,,,,,,upper limit,,,155.2939715
Sz66,Sz66,,Lupus,,234.86784791 -34.7716907,II,Alcala 2017,,3.42E+03,7.90E+01,M3,0.5,10.89,9.29,14.51,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,0.2,0.092,1.28,0.23,1.29,0.3,,2.69E-09,-8.57E+00,,3.10E-01,4.00E-02,,-5.09E-01,,-1.80E+00,10-Mar,3,,,,,,,,,157.3390815
Sz68,Sz68,,Lupus,,236.30361257 -34.29184637,II,Alcala 2017,2015,4.90E+03,2.26E+02,K2,1,7.57,6.48,9.6,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,5.183,2.1919,3.17,0.23,3.14,0.67,,3.80E-09,-8.42E+00,,2.13E+00,3.30E-01,,3.28E-01,,-1.20E+00,10-Mar,3,,,,,,upper limit,,,154.1948715
Sz69,Sz69,,Lupus,,236.32254983 -34.30785917,II,Alcala 2017,,3.20E+03,7.40E+01,M4.5,0.5,11.18,9.41,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,0.088,0.041,0.97,,0.97,0.22,,3.31E-10,-9.48E+00,,1.90E-01,3.00E-02,,-7.21E-01,,-2.80E+00,10-Mar,3,,,,,,,,,154.547562
Sz71,Sz71,,Lupus,,236.68637198 -34.50991035,II,Alcala 2017,,3.63E+03,1.67E+02,M1.5,0.5,10.07,8.63,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,0.309,0.142,1.41,,1.43,0.33,,8.71E-10,-9.06E+00,,4.20E-01,1.10E-01,,-3.77E-01,,-2.20E+00,10-Mar,3,,,,,,,,,155.8919357
Sz72,Sz72,,Lupus,,236.96095442 -35.47650125,II,Alcala 2017,,3.56E+03,1.64E+02,M2,0.5,10.57,9.33,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,0.252,0.116,1.32,,1.29,0.3,,2.19E-09,-8.66E+00,,3.80E-01,9.00E-02,,-4.20E-01,,-1.80E+00,10-Mar,3,,,,,,,,,155.8895055
Sz73,Sz73,,Lupus,,236.98726393 -35.2429994,II,Alcala 2017,,4.06E+03,1.87E+02,K7,1,10.74,8.83,,medium resolution spectra,310-2500 nm,VLT X-shooter,Line Strength,Hydrogen lines Helium lines Calcium lines Sodium Lines Oxygen Lines ,,0.419,0.193,1.31,,1.35,0.31,,6.61E-09,-8.18E+00,,8.20E-01,1.60E-01,,-8.62E-02,,-1.00E+00,10-Mar,3,,,,,,,,,156.7791296
